品目,産地,年,月,数量_kg,金額_円
あじ,合計,2020,1,2674,3360805
あじ,合計,2020,2,3087,3423865
あじ,合計,2020,3,3412,3684469
あじ,合計,2020,4,3133,3393436
あじ,合計,2020,5,4073,3898168
あじ,合計,2020,6,3650,4121711
あじ,合計,2020,7,3006,3829340
あじ,合計,2020,8,3123,4011862
あじ,合計,2020,9,2429,3265086
あじ,合計,2020,10,2542,3601501
あじ,合計,2020,11,2386,3018660
あじ,合計,2020,12,2313,3074406
あじ,島根,2020,7,52,49445
あじ,島根,2020,10,123,75677
あじ,島根,2020,11,50,23449
あじ,広島,2020,1,1510,1268579
あじ,広島,2020,2,1735,1213671
あじ,広島,2020,3,2029,1319962
あじ,広島,2020,4,1789,1173820
あじ,広島,2020,5,2526,1592817
あじ,広島,2020,6,2222,1655729
あじ,広島,2020,7,1433,1158120
あじ,広島,2020,8,1608,1304273
あじ,広島,2020,9,1073,799320
あじ,広島,2020,10,855,690908
あじ,広島,2020,11,1057,726268
あじ,広島,2020,12,995,686102
あじ,愛媛,2020,1,1164,2092226
あじ,愛媛,2020,2,1165,2103922
あじ,愛媛,2020,3,1382,2364507
あじ,愛媛,2020,4,1344,2219616
あじ,愛媛,2020,5,1400,2228563
あじ,愛媛,2020,6,1427,2465982
あじ,愛媛,2020,7,1521,2621775
あじ,愛媛,2020,8,1515,2707589
あじ,愛媛,2020,9,1356,2465766
あじ,愛媛,2020,10,1563,2834916
あじ,愛媛,2020,11,1279,2268943
あじ,愛媛,2020,12,1318,2388304
あじ,大分,2020,2,186,106272
あじ,大分,2020,5,147,76788
さば,合計,2020,1,1577,1278465
さば,合計,2020,2,2450,1546376
さば,合計,2020,3,2779,2174509
さば,合計,2020,4,2224,1784905
さば,合計,2020,5,1871,1358138
さば,合計,2020,6,675,334039
さば,合計,2020,7,823,396069
さば,合計,2020,8,986,469186
さば,合計,2020,9,998,569219
さば,合計,2020,10,1316,773985
さば,合計,2020,11,1283,795210
さば,合計,2020,12,1108,672897
さば,広島,2020,1,1341,837349
さば,広島,2020,2,2163,1020290
さば,広島,2020,3,2072,967600
さば,広島,2020,4,1615,688622
さば,広島,2020,5,1486,672488
さば,広島,2020,6,673,333002
さば,広島,2020,7,812,391545
さば,広島,2020,8,842,381953
さば,広島,2020,9,927,532695
さば,広島,2020,10,1295,768261
さば,広島,2020,11,1279,790998
さば,広島,2020,12,1088,651156
さば,愛媛,2020,1,236,441116
さば,愛媛,2020,2,287,526086
さば,愛媛,2020,3,631,1154012
さば,愛媛,2020,4,609,1096283
さば,愛媛,2020,5,385,685650
さば,愛媛,2020,6,2,1037
さば,愛媛,2020,7,11,4524
さば,愛媛,2020,8,144,87233
さば,愛媛,2020,9,71,36524
さば,愛媛,2020,10,21,5724
さば,愛媛,2020,11,4,4212
さば,愛媛,2020,12,20,21741
さば,大分,2020,3,77,52897
いわし,合計,2020,1,729,424440
いわし,合計,2020,2,720,395496
いわし,合計,2020,3,467,230796
いわし,合計,2020,4,586,269568
いわし,合計,2020,5,694,315468
いわし,合計,2020,6,640,316440
いわし,合計,2020,7,476,271296
いわし,合計,2020,8,196,82944
いわし,合計,2020,9,144,57780
いわし,合計,2020,10,291,184248
いわし,合計,2020,11,223,159516
いわし,合計,2020,12,54,34560
いわし,広島,2020,1,729,424440
いわし,広島,2020,2,720,395496
いわし,広島,2020,3,467,230796
いわし,広島,2020,4,586,269568
いわし,広島,2020,5,694,315468
いわし,広島,2020,6,640,316440
いわし,広島,2020,7,476,271296
いわし,広島,2020,8,196,82944
いわし,広島,2020,9,144,57780
いわし,広島,2020,10,291,184248
いわし,広島,2020,11,223,159516
いわし,広島,2020,12,54,34560
こいわし,合計,2020,1,417,243432
こいわし,合計,2020,2,536,306072
こいわし,合計,2020,3,864,490644
こいわし,合計,2020,4,980,529567
こいわし,合計,2020,5,269,141113
こいわし,合計,2020,6,7948,3668648
こいわし,合計,2020,7,336,180284
こいわし,合計,2020,8,555,349488
こいわし,合計,2020,9,534,302940
こいわし,合計,2020,10,573,331884
こいわし,合計,2020,11,488,291276
こいわし,合計,2020,12,330,181332
こいわし,広島,2020,1,417,243432
こいわし,広島,2020,2,536,306072
こいわし,広島,2020,3,864,490644
こいわし,広島,2020,4,980,529567
こいわし,広島,2020,5,269,141113
こいわし,広島,2020,6,7948,3668648
こいわし,広島,2020,7,336,180284
こいわし,広島,2020,8,555,349488
こいわし,広島,2020,9,534,302940
こいわし,広島,2020,10,573,331884
こいわし,広島,2020,11,488,291276
こいわし,広島,2020,12,330,181332
さより,合計,2020,1,520,749436
さより,合計,2020,2,997,1169255
さより,合計,2020,3,1624,1552967
さより,合計,2020,4,1556,1325374
さより,合計,2020,5,221,313617
さより,合計,2020,7,4,7776
さより,合計,2020,8,6,10433
さより,合計,2020,9,6,4076
さより,合計,2020,10,138,140272
さより,合計,2020,11,81,48881
さより,合計,2020,12,149,89858
さより,広島,2020,1,520,749436
さより,広島,2020,2,997,1169255
さより,広島,2020,3,1624,1552967
さより,広島,2020,4,1556,1325374
さより,広島,2020,5,221,313617
さより,広島,2020,7,4,7776
さより,広島,2020,8,6,10433
さより,広島,2020,9,6,4076
さより,広島,2020,10,138,140272
さより,広島,2020,11,81,48881
さより,広島,2020,12,149,89858
このしろ,合計,2020,1,977,213038
このしろ,合計,2020,2,920,199878
このしろ,合計,2020,3,382,90069
このしろ,合計,2020,4,416,98051
このしろ,合計,2020,5,104,16334
このしろ,合計,2020,6,107,19191
このしろ,合計,2020,7,11,2603
このしろ,合計,2020,8,39,8197
このしろ,合計,2020,9,321,114762
このしろ,合計,2020,10,329,114895
このしろ,合計,2020,11,280,103436
このしろ,合計,2020,12,1279,453294
このしろ,広島,2020,1,977,213038
このしろ,広島,2020,2,920,199878
このしろ,広島,2020,3,382,90069
このしろ,広島,2020,4,416,98051
このしろ,広島,2020,5,104,16334
このしろ,広島,2020,6,107,19191
このしろ,広島,2020,7,11,2603
このしろ,広島,2020,8,39,8197
このしろ,広島,2020,9,321,114762
このしろ,広島,2020,10,329,114895
このしろ,広島,2020,11,280,103436
このしろ,広島,2020,12,1279,453294
さわら,合計,2020,1,288,337534
さわら,合計,2020,2,251,326222
さわら,合計,2020,3,320,513454
さわら,合計,2020,4,1461,1034592
さわら,合計,2020,5,1581,1086637
さわら,合計,2020,6,763,530297
さわら,合計,2020,7,176,179544
さわら,合計,2020,8,198,179469
さわら,合計,2020,9,1710,1813915
さわら,合計,2020,10,1839,1908400
さわら,合計,2020,11,835,1023690
さわら,合計,2020,12,480,587344
さわら,広島,2020,1,221,274765
さわら,広島,2020,2,251,326222
さわら,広島,2020,3,320,513454
さわら,広島,2020,4,1461,1034592
さわら,広島,2020,5,1581,1086637
さわら,広島,2020,6,763,530297
さわら,広島,2020,7,176,179544
さわら,広島,2020,8,198,179469
さわら,広島,2020,9,1710,1813915
さわら,広島,2020,10,1839,1908400
さわら,広島,2020,11,835,1023690
