品目,産地,年,月,数量_kg,金額_円
いわし,合計,2024,11,123,106704
いわし,合計,2024,12,244,222696
いわし,広島,2024,1,254,243216
いわし,広島,2024,2,439,387936
いわし,広島,2024,3,323,214272
いわし,広島,2024,4,309,208224
いわし,広島,2024,5,200,145800
いわし,広島,2024,6,198,137268
いわし,広島,2024,7,132,93960
いわし,広島,2024,8,135,84888
いわし,広島,2024,9,216,150984
いわし,広島,2024,10,86,54648
いわし,広島,2024,11,123,106704
いわし,広島,2024,12,244,222696
こいわし,合計,2024,2,161,107568
こいわし,合計,2024,3,424,259922
こいわし,合計,2024,4,50,39312
こいわし,合計,2024,5,30,24624
こいわし,合計,2024,6,5152,4556419
こいわし,合計,2024,7,4203,3735676
こいわし,合計,2024,8,234,188892
こいわし,合計,2024,9,224,169007
こいわし,合計,2024,10,139,104976
こいわし,合計,2024,11,93,70308
こいわし,合計,2024,12,2,3888
こいわし,広島,2024,2,161,107568
こいわし,広島,2024,3,424,259922
こいわし,広島,2024,4,50,39312
こいわし,広島,2024,5,30,24624
こいわし,広島,2024,6,5152,4556419
こいわし,広島,2024,7,4203,3735676
こいわし,広島,2024,8,234,188892
こいわし,広島,2024,9,224,169007
こいわし,広島,2024,10,139,104976
こいわし,広島,2024,11,93,70308
こいわし,広島,2024,12,2,3888
さより,合計,2024,1,135,223894
さより,合計,2024,2,168,312323
さより,合計,2024,3,129,313891
さより,合計,2024,4,176,378897
さより,合計,2024,8,9,21523
さより,合計,2024,9,24,50231
さより,合計,2024,10,60,119646
さより,合計,2024,11,124,197141
さより,合計,2024,12,161,180127
さより,広島,2024,1,135,223894
さより,広島,2024,2,168,312323
さより,広島,2024,3,129,313891
さより,広島,2024,4,176,378897
さより,広島,2024,8,9,21523
さより,広島,2024,9,24,50231
さより,広島,2024,10,60,119646
さより,広島,2024,11,124,197141
さより,広島,2024,12,161,180127
このしろ,合計,2024,1,103,65672
このしろ,合計,2024,2,543,463867
このしろ,合計,2024,3,426,363463
このしろ,合計,2024,4,605,375294
このしろ,合計,2024,5,456,230899
このしろ,合計,2024,6,42,19102
このしろ,合計,2024,7,122,70345
このしろ,合計,2024,8,172,100682
このしろ,合計,2024,9,342,217492
このしろ,合計,2024,10,410,249537
このしろ,合計,2024,11,518,352158
このしろ,合計,2024,12,1555,1047107
このしろ,広島,2024,1,103,65672
このしろ,広島,2024,2,543,463867
このしろ,広島,2024,3,426,363463
このしろ,広島,2024,4,605,375294
このしろ,広島,2024,5,456,230899
このしろ,広島,2024,6,42,19102
このしろ,広島,2024,7,122,70345
このしろ,広島,2024,8,172,100682
このしろ,広島,2024,9,342,217492
このしろ,広島,2024,10,410,249537
このしろ,広島,2024,11,518,352158
このしろ,広島,2024,12,1555,1047107
さわら,合計,2024,1,36,70050
さわら,合計,2024,2,113,257377
さわら,合計,2024,3,129,313394
さわら,合計,2024,4,195,361977
さわら,合計,2024,5,4866,4793930
さわら,合計,2024,6,1340,1224113
さわら,合計,2024,7,43,60836
さわら,合計,2024,8,30,44982
さわら,合計,2024,9,244,374786
さわら,合計,2024,10,249,385167
さわら,合計,2024,11,834,1294899
さわら,合計,2024,12,511,1007094
さわら,広島,2024,1,36,70050
さわら,広島,2024,2,113,257377
さわら,広島,2024,3,129,313394
さわら,広島,2024,4,195,361977
さわら,広島,2024,5,4866,4793930
さわら,広島,2024,6,1340,1224113
さわら,広島,2024,7,43,60836
さわら,広島,2024,8,30,44982
さわら,広島,2024,9,193,305577
さわら,広島,2024,10,249,385167
さわら,広島,2024,11,823,1281248
さわら,広島,2024,12,364,805195
さわら,山口,2024,11,12,13651
さわら,愛媛,2024,9,52,69209
さわら,愛媛,2024,12,147,201899
ヤズ,合計,2024,1,144,92880
ヤズ,合計,2024,2,142,87859
ヤズ,合計,2024,3,92,59940
ヤズ,合計,2024,4,28,18576
ヤズ,合計,2024,5,34,21276
ヤズ,合計,2024,6,45,29376
ヤズ,合計,2024,10,178,97395
ヤズ,合計,2024,11,161,88756
ヤズ,合計,2024,12,30,17301
ヤズ,広島,2024,1,144,92880
ヤズ,広島,2024,2,131,81616
ヤズ,広島,2024,3,92,59940
ヤズ,広島,2024,4,28,18576
ヤズ,広島,2024,5,34,21276
ヤズ,広島,2024,6,45,29376
ヤズ,広島,2024,10,148,80989
ヤズ,広島,2024,11,159,88043
ヤズ,広島,2024,12,30,17301
ヤズ,山口,2024,11,2,713
ヤズ,愛媛,2024,2,11,6243
ヤズ,愛媛,2024,10,30,16406
はまち,合計,2024,1,3509,5914170
はまち,合計,2024,2,2895,5069994
はまち,合計,2024,3,3516,6222411
はまち,合計,2024,4,3449,6007453
はまち,合計,2024,5,3216,5946750
はまち,合計,2024,6,2908,5498871
はまち,合計,2024,7,2624,5042445
はまち,合計,2024,8,2935,5688299
はまち,合計,2024,9,2710,5167546
はまち,合計,2024,10,3636,6511925
はまち,合計,2024,11,3869,6523066
はまち,合計,2024,12,4228,7205247
はまち,広島,2024,1,952,793604
はまち,広島,2024,2,583,426241
はまち,広島,2024,3,953,953503
はまち,広島,2024,4,925,752595
はまち,広島,2024,5,739,770023
はまち,広島,2024,6,553,576114
はまち,広島,2024,7,493,497242
はまち,広島,2024,8,668,857586
はまち,広島,2024,9,587,687361
はまち,広島,2024,10,1094,974128
はまち,広島,2024,11,1372,1051684
はまち,広島,2024,12,1356,990169
はまち,愛媛,2024,1,2558,5120566
はまち,愛媛,2024,2,2312,4643753
はまち,愛媛,2024,3,2563,5268908
はまち,愛媛,2024,4,2524,5254858
はまち,愛媛,2024,5,2478,5176727
はまち,愛媛,2024,6,2355,4922757
はまち,愛媛,2024,7,2130,4545203
はまち,愛媛,2024,8,2267,4830713
はまち,愛媛,2024,9,2124,4480185
はまち,愛媛,2024,10,2542,5537797
はまち,愛媛,2024,11,2497,5471382
はまち,愛媛,2024,12,2873,6215078
ぶり,合計,2024,1,1111,1559954
ぶり,合計,2024,2,708,1372614
ぶり,合計,2024,3,760,1342003
ぶり,合計,2024,4,481,1025235
ぶり,合計,2024,5,354,806998
ぶり,合計,2024,6,378,877466
ぶり,合計,2024,7,343,694657
ぶり,合計,2024,8,357,741116
ぶり,合計,2024,9,307,657584
ぶり,合計,2024,10,346,798806
ぶり,合計,2024,11,448,968717
ぶり,合計,2024,12,3663,7868578
ぶり,東京,2024,1,237,658661
ぶり,東京,2024,2,258,716953
ぶり,東京,2024,3,219,606199
ぶり,東京,2024,4,216,598103
ぶり,東京,2024,5,215,592158
ぶり,東京,2024,6,225,620999
ぶり,東京,2024,7,162,452143
ぶり,東京,2024,8,129,362028
ぶり,東京,2024,9,130,364787
ぶり,東京,2024,10,192,538607
ぶり,東京,2024,11,218,611418
ぶり,東京,2024,12,693,1931116
ぶり,広島,2024,1,874,901293
ぶり,広島,2024,2,450,655661
ぶり,広島,2024,3,541,735804
ぶり,広島,2024,4,265,427132
ぶり,広島,2024,5,139,214840
ぶり,広島,2024,6,153,256467
ぶり,広島,2024,7,181,242514
ぶり,広島,2024,8,228,379088
ぶり,広島,2024,9,177,292797
ぶり,広島,2024,10,153,260199
ぶり,広島,2024,11,229,357299
ぶり,広島,2024,12,2969,5937462
まなかつお,合計,2024,1,510,1540864
まなかつお,合計,2024,2,438,1166049
まなかつお,合計,2024,3,446,1608451
まなかつお,合計,2024,4,47,133513
まなかつお,合計,2024,5,2,1901
まなかつお,合計,2024,6,58,167119
まなかつお,合計,2024,7,144,461803
まなかつお,合計,2024,8,94,266902
まなかつお,合計,2024,9,323,785657
まなかつお,合計,2024,10,535,964071
まなかつお,合計,2024,11,217,349223
まなかつお,合計,2024,12,176,448224
まなかつお,広島,2024,1,510,1540864
まなかつお,広島,2024,2,438,1166049
まなかつお,広島,2024,3,446,1608451
まなかつお,広島,2024,4,47,133513
まなかつお,広島,2024,5,2,1901
まなかつお,広島,2024,6,58,167119
まなかつお,広島,2024,7,144,461803
まなかつお,広島,2024,8,94,266902
まなかつお,広島,2024,9,323,785657
まなかつお,広島,2024,10,535,964071
まなかつお,広島,2024,11,217,349223
まなかつお,広島,2024,12,176,448224
かつお,合計,2024,1,177,215428
かつお,合計,2024,2,152,165442
かつお,合計,2024,3,296,263852
かつお,合計,2024,4,133,109443
かつお,合計,2024,5,310,256896
かつお,合計,2024,6,302,237733
かつお,合計,2024,7,384,310585
かつお,合計,2024,8,366,310693
かつお,合計,2024,9,332,271239
かつお,合計,2024,10,269,271478
かつお,合計,2024,11,223,222968
かつお,合計,2024,12,200,201623
かつお,広島,2024,1,177,215428
かつお,広島,2024,2,152,165442
かつお,広島,2024,3,296,263852
かつお,広島,2024,4,133,109443
かつお,広島,2024,5,310,256896
かつお,広島,2024,6,302,237733
かつお,広島,2024,7,384,310585
かつお,広島,2024,8,366,310693
かつお,広島,2024,9,332,271239
かつお,広島,2024,10,269,271478
かつお,広島,2024,11,223,222968
かつお,広島,2024,12,200,201623
かじき,合計,2024,1,45,117180
かじき,合計,2024,2,65,172260
かじき,合計,2024,3,95,250020
かじき,合計,2024,4,116,338850
かじき,合計,2024,5,80,200070
かじき,合計,2024,6,65,163080
かじき,合計,2024,7,70,183600
かじき,合計,2024,8,74,202392
かじき,合計,2024,9,95,258660
かじき,合計,2024,10,121,363096
かじき,合計,2024,11,87,280432
かじき,合計,2024,12,100,278197
かじき,広島,2024,1,45,117180
かじき,広島,2024,2,10,27000
かじき,広島,2024,4,21,86670
かじき,広島,2024,8,4,19872
かじき,広島,2024,10,31,123336
かじき,広島,2024,11,37,147052
かじき,広島,2024,12,5,23857
かじき,福岡,2024,2,55,145260
かじき,福岡,2024,3,95,250020
かじき,福岡,2024,4,95,252180
かじき,福岡,2024,5,80,200070
かじき,福岡,2024,6,65,163080
かじき,福岡,2024,7,70,183600
かじき,福岡,2024,8,70,182520
かじき,福岡,2024,9,95,258660
かじき,福岡,2024,10,90,239760
かじき,福岡,2024,11,50,133380
かじき,福岡,2024,12,95,254340
まぐろ,合計,2024,1,73,438187
まぐろ,合計,2024,2,178,591415
まぐろ,合計,2024,3,241,1159068
まぐろ,合計,2024,4,198,963857
まぐろ,合計,2024,5,148,878670
まぐろ,合計,2024,6,133,759272
まぐろ,合計,2024,7,125,916018
まぐろ,合計,2024,8,102,687033
まぐろ,合計,2024,9,119,826363
まぐろ,合計,2024,10,143,871171
まぐろ,合計,2024,11,128,817008
まぐろ,合計,2024,12,287,1492499
まぐろ,広島,2024,1,73,438187
まぐろ,広島,2024,2,178,591415
まぐろ,広島,2024,3,241,1159068
まぐろ,広島,2024,4,198,963857
まぐろ,広島,2024,5,145,862470
まぐろ,広島,2024,6,133,759272
まぐろ,広島,2024,7,125,916018
まぐろ,広島,2024,8,102,687033
まぐろ,広島,2024,9,119,826363
まぐろ,広島,2024,10,143,871171
まぐろ,広島,2024,11,128,817008
まぐろ,広島,2024,12,287,1492499
まぐろ,福岡,2024,5,3,16200
いさき,合計,2024,1,199,292996
いさき,合計,2024,2,254,340637
いさき,合計,2024,3,158,223890
いさき,合計,2024,4,499,711901
いさき,合計,2024,5,455,633745
いさき,合計,2024,6,720,1010269
いさき,合計,2024,7,579,803139
いさき,合計,2024,8,38,32340
いさき,合計,2024,9,38,28049
いさき,合計,2024,10,209,319919
いさき,合計,2024,11,45,27464
いさき,合計,2024,12,64,53832
いさき,広島,2024,1,99,157961
いさき,広島,2024,2,133,186991
いさき,広島,2024,3,101,140433
いさき,広島,2024,4,264,395482
いさき,広島,2024,5,244,358765
いさき,広島,2024,6,382,567876
いさき,広島,2024,7,330,465115
いさき,広島,2024,8,38,32340
いさき,広島,2024,9,38,28049
いさき,広島,2024,10,116,183343
いさき,広島,2024,11,45,27464
いさき,広島,2024,12,64,53832
いさき,愛媛,2024,1,100,135035
いさき,愛媛,2024,2,121,153646
いさき,愛媛,2024,3,57,83457
いさき,愛媛,2024,4,235,316419
いさき,愛媛,2024,5,210,274980
いさき,愛媛,2024,6,338,442393
いさき,愛媛,2024,7,249,338024
いさき,愛媛,2024,10,93,136576
たちうお,合計,2024,1,459,565787
たちうお,合計,2024,2,463,653036
たちうお,合計,2024,3,262,536971
たちうお,合計,2024,4,277,548648
たちうお,合計,2024,5,174,415800
たちうお,合計,2024,6,285,608704
たちうお,合計,2024,7,133,291236
たちうお,合計,2024,8,212,499455
たちうお,合計,2024,9,294,726861
たちうお,合計,2024,10,644,1152970
たちうお,合計,2024,11,587,909090
たちうお,合計,2024,12,457,763110
たちうお,広島,2024,1,459,565787
たちうお,広島,2024,2,463,653036
たちうお,広島,2024,3,262,536971
たちうお,広島,2024,4,277,548648
たちうお,広島,2024,5,174,415800
たちうお,広島,2024,6,285,608704
たちうお,広島,2024,7,133,291236
たちうお,広島,2024,8,212,499455
たちうお,広島,2024,9,294,726861
たちうお,広島,2024,10,644,1152970
たちうお,広島,2024,11,587,909090
たちうお,広島,2024,12,408,708677
たちうお,愛媛,2024,12,49,54433
ぼら,合計,2024,1,26,10941
ぼら,合計,2024,2,116,31471
ぼら,合計,2024,3,367,98042
ぼら,合計,2024,4,583,148348
ぼら,合計,2024,5,193,53201
ぼら,合計,2024,6,55,16262
ぼら,合計,2024,7,34,10686
ぼら,合計,2024,8,13,3781
ぼら,合計,2024,9,122,45273
ぼら,合計,2024,10,600,195027
ぼら,合計,2024,11,435,138261
ぼら,合計,2024,12,41,10701
ぼら,広島,2024,1,26,10941
ぼら,広島,2024,2,116,31471
ぼら,広島,2024,3,367,98042
ぼら,広島,2024,4,583,148348
ぼら,広島,2024,5,193,53201
ぼら,広島,2024,6,55,16262
ぼら,広島,2024,7,34,10686
ぼら,広島,2024,8,13,3781
ぼら,広島,2024,9,122,45273
ぼら,広島,2024,10,600,195027
ぼら,広島,2024,11,435,138261
ぼら,広島,2024,12,41,10701
たい,合計,2024,1,13007,15055443
たい,合計,2024,2,12324,13653837
たい,合計,2024,3,15078,16754013
たい,合計,2024,4,20317,18458354
たい,合計,2024,5,17560,16322979
たい,合計,2024,6,14305,13490888
たい,合計,2024,7,13695,13595707
たい,合計,2024,8,14102,17094220
たい,合計,2024,9,14040,15332629
たい,合計,2024,10,14339,15677874
たい,合計,2024,11,12312,14357806
たい,合計,2024,12,13226,16507506
たい,広島,2024,1,7639,7827806
たい,広島,2024,2,7671,7385358
たい,広島,2024,3,10020,9943133
たい,広島,2024,4,15245,11604037
たい,広島,2024,5,12529,9472060
たい,広島,2024,6,10029,7655515
たい,広島,2024,7,9399,7730166
たい,広島,2024,8,7869,8603819
たい,広島,2024,9,9028,8495866
たい,広島,2024,10,9305,8807763
たい,広島,2024,11,7273,7464981
たい,広島,2024,12,7295,8411508
たい,愛媛,2024,1,5368,7227637
たい,愛媛,2024,2,4653,6268479
たい,愛媛,2024,3,5058,6810880
たい,愛媛,2024,4,5072,6854317
たい,愛媛,2024,5,5030,6850919
たい,愛媛,2024,6,4277,5835373
たい,愛媛,2024,7,4295,5865541
たい,愛媛,2024,8,6233,8490401
たい,愛媛,2024,9,5012,6836763
たい,愛媛,2024,10,5034,6870111
たい,愛媛,2024,11,5039,6892825
たい,愛媛,2024,12,5931,8095998
ちだい,合計,2024,1,436,152630
ちだい,合計,2024,2,454,148975
ちだい,合計,2024,3,871,339752
ちだい,合計,2024,4,1473,450591
ちだい,合計,2024,5,910,296521
ちだい,合計,2024,6,730,287131
ちだい,合計,2024,7,458,181088
ちだい,合計,2024,8,358,151445
ちだい,合計,2024,9,462,192197
ちだい,合計,2024,10,745,270058
ちだい,合計,2024,11,889,333655
ちだい,合計,2024,12,529,224421
ちだい,広島,2024,1,436,152630
ちだい,広島,2024,2,454,148975
ちだい,広島,2024,3,871,339752
ちだい,広島,2024,4,1473,450591
ちだい,広島,2024,5,910,296521
ちだい,広島,2024,6,730,287131
ちだい,広島,2024,7,458,181088
ちだい,広島,2024,8,358,151445
ちだい,広島,2024,9,462,192197
ちだい,広島,2024,10,745,270058
ちだい,広島,2024,11,889,333655
ちだい,広島,2024,12,529,224421
ちぬ,合計,2024,1,948,457025
ちぬ,合計,2024,2,1435,673194
ちぬ,合計,2024,3,1979,1006725
ちぬ,合計,2024,4,3475,1459211
ちぬ,合計,2024,5,2096,829147
ちぬ,合計,2024,6,953,415252
ちぬ,合計,2024,7,708,403257
ちぬ,合計,2024,8,646,429447
ちぬ,合計,2024,9,1068,625908
ちぬ,合計,2024,10,1275,655987
ちぬ,合計,2024,11,885,478280
ちぬ,合計,2024,12,537,295375
ちぬ,広島,2024,1,919,439188
ちぬ,広島,2024,2,1435,673194
ちぬ,広島,2024,3,1979,1006725
ちぬ,広島,2024,4,3455,1448001
ちぬ,広島,2024,5,2051,812461
ちぬ,広島,2024,6,902,390368
ちぬ,広島,2024,7,598,348051
ちぬ,広島,2024,8,646,429447
ちぬ,広島,2024,9,1068,625908
ちぬ,広島,2024,10,1275,655987
ちぬ,広島,2024,11,885,478280
ちぬ,広島,2024,12,537,295375
ちぬ,愛媛,2024,1,29,17837
ちぬ,愛媛,2024,4,20,11210
ちぬ,愛媛,2024,5,46,16686
ちぬ,愛媛,2024,6,52,24884
ちぬ,愛媛,2024,7,110,55206
れんこ,合計,2024,1,27,18472
れんこ,合計,2024,2,147,76227
れんこ,合計,2024,3,257,146807
れんこ,合計,2024,4,458,183214
れんこ,合計,2024,5,134,66253
れんこ,合計,2024,6,85,46044
れんこ,合計,2024,7,79,41458
れんこ,合計,2024,8,221,102166
れんこ,合計,2024,9,245,123085
れんこ,合計,2024,10,100,49001
れんこ,合計,2024,11,86,41287
れんこ,合計,2024,12,229,116202
れんこ,広島,2024,1,27,18472
れんこ,広島,2024,2,147,76227
れんこ,広島,2024,3,257,146807
れんこ,広島,2024,4,458,183214
れんこ,広島,2024,5,134,66253
れんこ,広島,2024,6,85,46044
れんこ,広島,2024,7,79,41458
れんこ,広島,2024,8,221,102166
れんこ,広島,2024,9,245,123085
れんこ,広島,2024,10,100,49001
れんこ,広島,2024,11,86,41287
れんこ,広島,2024,12,229,116202
めんたい,合計,2024,1,947,946289
めんたい,合計,2024,2,727,792031
めんたい,合計,2024,3,724,857372
めんたい,合計,2024,4,732,800092
めんたい,合計,2024,5,806,803491
めんたい,合計,2024,6,335,356627
めんたい,合計,2024,7,80,100121
めんたい,合計,2024,8,127,267529
めんたい,合計,2024,9,536,626313
めんたい,合計,2024,10,849,794785
めんたい,合計,2024,11,715,605544
めんたい,合計,2024,12,548,637601
めんたい,広島,2024,1,947,946289
めんたい,広島,2024,2,727,792031
めんたい,広島,2024,3,724,857372
めんたい,広島,2024,4,732,800092
めんたい,広島,2024,5,806,803491
めんたい,広島,2024,6,335,356627
めんたい,広島,2024,7,80,100121
めんたい,広島,2024,8,127,267529
めんたい,広島,2024,9,536,626313
めんたい,広島,2024,10,849,794785
めんたい,広島,2024,11,715,605544
めんたい,広島,2024,12,548,637601
すずき,合計,2024,1,886,571919
すずき,合計,2024,2,812,534763
すずき,合計,2024,3,1020,814891
すずき,合計,2024,4,1308,890166
すずき,合計,2024,5,796,509306
すずき,合計,2024,6,642,450575
すずき,合計,2024,7,677,579060
すずき,合計,2024,8,552,506710
すずき,合計,2024,9,445,381233
すずき,合計,2024,10,977,656572
すずき,合計,2024,11,403,338062
すずき,合計,2024,12,2580,1569221
すずき,広島,2024,1,886,571919
すずき,広島,2024,2,812,534763
すずき,広島,2024,3,1020,814891
すずき,広島,2024,4,1308,890166
すずき,広島,2024,5,796,509306
すずき,広島,2024,6,637,441704
すずき,広島,2024,7,677,579060
すずき,広島,2024,8,552,506710
すずき,広島,2024,9,445,381233
すずき,広島,2024,10,977,656572
すずき,広島,2024,11,403,338062
すずき,広島,2024,12,2580,1569221
すずき,愛媛,2024,6,6,8871
ぐち,合計,2024,1,13,4380
ぐち,合計,2024,2,11,2830
ぐち,合計,2024,3,12,12869
ぐち,合計,2024,4,17,41514
ぐち,合計,2024,5,13,4526
ぐち,合計,2024,6,32,8034
ぐち,合計,2024,7,25,7593
ぐち,合計,2024,8,9,2992
ぐち,合計,2024,9,14,99090
ぐち,合計,2024,10,29,70708
ぐち,合計,2024,11,48,8251
ぐち,合計,2024,12,29,6685
ぐち,広島,2024,1,13,4380
ぐち,広島,2024,2,11,2830
ぐち,広島,2024,3,12,12869
ぐち,広島,2024,4,17,41514
ぐち,広島,2024,5,13,4526
ぐち,広島,2024,6,32,8034
ぐち,広島,2024,7,25,7593
ぐち,広島,2024,8,9,2992
ぐち,広島,2024,9,14,99090
ぐち,広島,2024,10,29,70708
ぐち,広島,2024,11,48,8251
ぐち,広島,2024,12,29,6685
はぎ,合計,2024,1,532,745826
はぎ,合計,2024,2,416,560387
はぎ,合計,2024,3,710,807698
はぎ,合計,2024,4,2187,2412341
はぎ,合計,2024,5,3814,3224105
はぎ,合計,2024,6,2738,2090514
はぎ,合計,2024,7,1048,929952
はぎ,合計,2024,8,490,462145
はぎ,合計,2024,9,916,1066989
はぎ,合計,2024,10,2131,3353810
はぎ,合計,2024,11,2357,3686833
はぎ,合計,2024,12,2090,3292407
はぎ,広島,2024,1,521,717156
はぎ,広島,2024,2,402,548810
はぎ,広島,2024,3,710,807698
はぎ,広島,2024,4,2187,2412341
はぎ,広島,2024,5,3805,3219612
はぎ,広島,2024,6,2738,2090514
はぎ,広島,2024,7,1048,929952
はぎ,広島,2024,8,490,462145
はぎ,広島,2024,9,916,1066989
はぎ,広島,2024,10,2126,3348842
はぎ,広島,2024,11,2357,3686833
はぎ,広島,2024,12,2090,3292407
はぎ,愛媛,2024,1,11,28670
はぎ,愛媛,2024,2,14,11577
はぎ,愛媛,2024,5,9,4493
はぎ,愛媛,2024,10,4,4968
かれい,合計,2024,1,3270,2757332
かれい,合計,2024,2,5659,4446151
かれい,合計,2024,3,4813,4491475
かれい,合計,2024,4,3844,3966072
かれい,合計,2024,5,955,1674954
かれい,合計,2024,6,561,1286385
かれい,合計,2024,7,787,1402007
かれい,合計,2024,8,585,930684
かれい,合計,2024,9,402,606911
かれい,合計,2024,10,278,399437
かれい,合計,2024,11,408,760984
かれい,合計,2024,12,1607,1682728
かれい,広島,2024,1,3270,2757332
かれい,広島,2024,2,5659,4446151
かれい,広島,2024,3,4813,4491475
かれい,広島,2024,4,3844,3966072
かれい,広島,2024,5,955,1674954
かれい,広島,2024,6,561,1286385
かれい,広島,2024,7,787,1402007
かれい,広島,2024,8,585,930684
かれい,広島,2024,9,402,606911
かれい,広島,2024,10,278,399437
かれい,広島,2024,11,408,760984
かれい,広島,2024,12,1607,1682728
ひらめ,合計,2024,1,1557,3494804
ひらめ,合計,2024,2,1304,2940208
ひらめ,合計,2024,3,1437,3361302
ひらめ,合計,2024,4,1908,3553946
ひらめ,合計,2024,5,1491,2900480
ひらめ,合計,2024,6,1208,2616117
ひらめ,合計,2024,7,1171,2790968
ひらめ,合計,2024,8,1404,3411734
ひらめ,合計,2024,9,977,2443709
ひらめ,合計,2024,10,840,2042298
ひらめ,合計,2024,11,941,2231106
ひらめ,合計,2024,12,1246,3172049
ひらめ,広島,2024,1,773,1269044
ひらめ,広島,2024,2,585,899547
ひらめ,広島,2024,3,624,1044650
ひらめ,広島,2024,4,1197,1521426
ひらめ,広島,2024,5,755,783197
ひらめ,広島,2024,6,492,557994
ひらめ,広島,2024,7,437,680511
ひらめ,広島,2024,8,456,681662
ひらめ,広島,2024,9,408,803447
ひらめ,広島,2024,10,417,822191
ひらめ,広島,2024,11,557,1120810
ひらめ,広島,2024,12,719,1524047
ひらめ,愛媛,2024,1,784,2225760
ひらめ,愛媛,2024,2,720,2040661
ひらめ,愛媛,2024,3,813,2316652
ひらめ,愛媛,2024,4,711,2032520
ひらめ,愛媛,2024,5,736,2117283
ひらめ,愛媛,2024,6,716,2058123
ひらめ,愛媛,2024,7,734,2110457
ひらめ,愛媛,2024,8,948,2730072
ひらめ,愛媛,2024,9,569,1640262
ひらめ,愛媛,2024,10,423,1220107
ひらめ,愛媛,2024,11,384,1110296
ひらめ,愛媛,2024,12,527,1648002
めばる,合計,2024,1,592,964035
めばる,合計,2024,2,950,1648575
めばる,合計,2024,3,976,1967764
めばる,合計,2024,4,1018,2003363
めばる,合計,2024,5,518,1142654
めばる,合計,2024,6,524,1016494
めばる,合計,2024,7,566,1192766
めばる,合計,2024,8,651,1459945
めばる,合計,2024,9,217,434734
めばる,合計,2024,10,115,218493
めばる,合計,2024,11,128,200186
めばる,合計,2024,12,162,362607
めばる,広島,2024,1,592,964035
めばる,広島,2024,2,931,1620970
めばる,広島,2024,3,969,1955150
めばる,広島,2024,4,1018,2003363
めばる,広島,2024,5,518,1142654
めばる,広島,2024,6,524,1016494
めばる,広島,2024,7,566,1192766
めばる,広島,2024,8,651,1459945
めばる,広島,2024,9,217,434734
めばる,広島,2024,10,115,218493
めばる,広島,2024,11,128,200186
めばる,広島,2024,12,162,362607
めばる,愛媛,2024,2,19,27605
めばる,愛媛,2024,3,6,12614
ほご,合計,2024,1,719,707502
ほご,合計,2024,2,544,620886
ほご,合計,2024,3,548,645788
ほご,合計,2024,4,1092,1107219
ほご,合計,2024,5,631,750938
ほご,合計,2024,6,451,528021
ほご,合計,2024,7,348,409182
ほご,合計,2024,8,430,557277
ほご,合計,2024,9,318,388793
ほご,合計,2024,10,205,233304
ほご,合計,2024,11,269,350795
