品目,産地,年,月,数量_kg,金額_円
あじ,合計,2024,1,1393,2290758
あじ,合計,2024,2,1306,2231824
あじ,合計,2024,3,1591,2640619
あじ,合計,2024,4,2390,3569965
あじ,合計,2024,5,2011,3111582
あじ,合計,2024,6,2071,3102892
あじ,合計,2024,7,1448,2434519
あじ,合計,2024,8,1680,2585584
あじ,合計,2024,9,1229,1888738
あじ,合計,2024,10,1400,2518541
あじ,合計,2024,11,1231,2145482
あじ,合計,2024,12,1034,2139635
あじ,広島,2024,1,765,867921
あじ,広島,2024,2,677,790899
あじ,広島,2024,3,898,1041484
あじ,広島,2024,4,1561,1773090
あじ,広島,2024,5,1204,1368520
あじ,広島,2024,6,1282,1402165
あじ,広島,2024,7,731,834172
あじ,広島,2024,8,1001,953972
あじ,広島,2024,9,677,546057
あじ,広島,2024,10,733,926755
あじ,広島,2024,11,634,598452
あじ,広島,2024,12,583,949686
あじ,愛媛,2024,1,627,1422837
あじ,愛媛,2024,2,629,1440925
あじ,愛媛,2024,3,692,1599135
あじ,愛媛,2024,4,829,1796875
あじ,愛媛,2024,5,806,1743062
あじ,愛媛,2024,6,789,1700727
あじ,愛媛,2024,7,716,1600347
あじ,愛媛,2024,8,679,1631612
あじ,愛媛,2024,9,552,1342681
あじ,愛媛,2024,10,668,1591786
あじ,愛媛,2024,11,597,1547030
あじ,愛媛,2024,12,451,1189949
さば,合計,2024,1,485,398142
さば,合計,2024,2,521,423842
さば,合計,2024,3,586,479873
さば,合計,2024,4,489,434464
さば,合計,2024,5,265,243193
さば,合計,2024,6,213,178419
さば,合計,2024,7,169,147047
さば,合計,2024,8,204,188059
さば,合計,2024,9,291,301427
さば,合計,2024,10,334,369644
さば,合計,2024,11,424,484200
さば,合計,2024,12,377,367814
さば,広島,2024,1,485,398142
さば,広島,2024,2,521,423842
さば,広島,2024,3,586,479873
さば,広島,2024,4,461,418534
さば,広島,2024,5,265,243193
さば,広島,2024,6,213,178419
さば,広島,2024,7,169,147047
さば,広島,2024,8,204,188059
さば,広島,2024,9,291,301427
さば,広島,2024,10,334,369644
さば,広島,2024,11,424,484200
さば,広島,2024,12,377,367814
さば,愛媛,2024,4,28,15930
いわし,合計,2024,1,254,243216
いわし,合計,2024,2,439,387936
いわし,合計,2024,3,323,214272
いわし,合計,2024,4,309,208224
いわし,合計,2024,5,200,145800
いわし,合計,2024,6,198,137268
いわし,合計,2024,7,132,93960
いわし,合計,2024,8,135,84888
いわし,合計,2024,9,216,150984
いわし,合計,2024,10,86,54648
