品目,産地,年,月,数量_kg,金額_円
あじ,合計,2025,1,3118,4011730
あじ,合計,2025,2,3695,4051638
あじ,合計,2025,3,3340,4457557
あじ,合計,2025,4,3933,4497872
あじ,合計,2025,5,4504,5264773
あじ,合計,2025,6,4665,5204810
あじ,合計,2025,7,2766,3402516
あじ,合計,2025,8,3475,4668997
あじ,合計,2025,9,3093,3942941
あじ,合計,2025,10,3876,4498977
あじ,合計,2025,11,3980,4557439
あじ,合計,2025,12,3254,4063346
あじ,島根,2025,1,50,31806
あじ,島根,2025,2,86,34965
あじ,島根,2025,5,182,119812
あじ,島根,2025,6,202,126229
あじ,島根,2025,10,151,92194
あじ,島根,2025,11,117,63867
あじ,広島,2025,1,1406,1239816
あじ,広島,2025,2,1760,1167372
あじ,広島,2025,3,1286,1259906
あじ,広島,2025,4,1843,1479645
あじ,広島,2025,5,2074,1744068
あじ,広島,2025,6,2591,2079345
あじ,広島,2025,7,1487,1289438
あじ,広島,2025,8,1621,1653893
あじ,広島,2025,9,1403,1181508
あじ,広島,2025,10,1730,1438829
あじ,広島,2025,11,1990,1620205
あじ,広島,2025,12,1865,1650428
あじ,愛媛,2025,1,1662,2740108
あじ,愛媛,2025,2,1849,2849301
あじ,愛媛,2025,3,2039,3181775
あじ,愛媛,2025,4,1904,2911318
あじ,愛媛,2025,5,2129,3338372
あじ,愛媛,2025,6,1872,2999236
あじ,愛媛,2025,7,1279,2113078
あじ,愛媛,2025,8,1854,3015104
あじ,愛媛,2025,9,1651,2732921
あじ,愛媛,2025,10,1794,2856336
あじ,愛媛,2025,11,1869,2870483
あじ,愛媛,2025,12,1389,2412918
あじ,大分,2025,3,15,15876
あじ,大分,2025,4,185,106909
あじ,大分,2025,5,119,62521
あじ,大分,2025,9,39,28512
あじ,大分,2025,10,201,111618
あじ,大分,2025,11,4,2884
さば,合計,2025,1,1517,1022827
さば,合計,2025,2,2306,2399317
さば,合計,2025,3,2310,2653787
さば,合計,2025,4,1348,1147155
さば,合計,2025,5,831,496153
さば,合計,2025,6,736,395111
さば,合計,2025,7,858,500679
さば,合計,2025,8,941,605327
さば,合計,2025,9,1263,854690
さば,合計,2025,10,1250,955896
さば,合計,2025,11,1581,1118464
さば,合計,2025,12,2214,2115840
さば,広島,2025,1,1412,838301
さば,広島,2025,2,1574,1043454
さば,広島,2025,3,1236,847087
さば,広島,2025,4,964,606124
さば,広島,2025,5,781,459985
さば,広島,2025,6,655,332694
さば,広島,2025,7,830,469358
さば,広島,2025,8,918,581265
さば,広島,2025,9,1167,802776
さば,広島,2025,10,948,796154
さば,広島,2025,11,1453,1095380
さば,広島,2025,12,1628,1165045
さば,愛媛,2025,1,105,184526
さば,愛媛,2025,2,732,1355863
さば,愛媛,2025,3,955,1742624
さば,愛媛,2025,4,253,460657
さば,愛媛,2025,5,50,36168
さば,愛媛,2025,6,81,62417
さば,愛媛,2025,7,28,31321
さば,愛媛,2025,8,23,24062
さば,愛媛,2025,9,7,2084
さば,愛媛,2025,10,56,30501
さば,愛媛,2025,11,19,5529
さば,愛媛,2025,12,586,950795
さば,大分,2025,3,119,64076
さば,大分,2025,4,131,80374
さば,大分,2025,9,90,49830
さば,大分,2025,10,246,129241
さば,大分,2025,11,109,17555
いわし,合計,2025,1,320,165510
いわし,合計,2025,2,781,398736
いわし,合計,2025,3,560,265572
いわし,合計,2025,4,428,209520
いわし,合計,2025,5,735,392187
いわし,合計,2025,6,554,272074
