品目,産地,年,月,数量_kg,金額_円
あじ,合計,2021,1,2069,2648819
あじ,合計,2021,2,2054,2612724
あじ,合計,2021,3,2605,3163829
あじ,合計,2021,4,2992,3167541
あじ,合計,2021,5,2556,2955671
あじ,合計,2021,6,2879,3427656
あじ,合計,2021,7,2544,3184981
あじ,合計,2021,8,2555,3350778
あじ,合計,2021,9,2055,2891948
あじ,合計,2021,10,2726,3692313
あじ,合計,2021,11,2757,3796641
あじ,合計,2021,12,2214,3150581
あじ,島根,2021,7,25,13500
あじ,島根,2021,10,45,24084
あじ,広島,2021,1,1022,750466
あじ,広島,2021,2,1036,778586
あじ,広島,2021,3,1245,876428
あじ,広島,2021,4,1599,996635
あじ,広島,2021,5,1532,1084120
あじ,広島,2021,6,1664,1265097
あじ,広島,2021,7,1379,1021120
あじ,広島,2021,8,1202,889081
あじ,広島,2021,9,892,655968
あじ,広島,2021,10,1160,827048
あじ,広島,2021,11,1055,759954
あじ,広島,2021,12,922,737688
あじ,愛媛,2021,1,1047,1898353
あじ,愛媛,2021,2,1018,1834138
あじ,愛媛,2021,3,1176,2155900
あじ,愛媛,2021,4,1176,2079538
あじ,愛媛,2021,5,1023,1871551
あじ,愛媛,2021,6,1215,2162559
あじ,愛媛,2021,7,1140,2150361
あじ,愛媛,2021,8,1352,2461697
あじ,愛媛,2021,9,1163,2235980
あじ,愛媛,2021,10,1508,2831461
あじ,愛媛,2021,11,1697,3032907
あじ,愛媛,2021,12,1292,2412893
あじ,大分,2021,3,184,131501
あじ,大分,2021,4,218,91368
あじ,大分,2021,10,13,9720
あじ,大分,2021,11,5,3780
さば,合計,2021,1,1079,552186
さば,合計,2021,2,1040,527594
さば,合計,2021,3,1690,955962
さば,合計,2021,4,1123,585858
さば,合計,2021,5,850,500641
さば,合計,2021,6,750,394085
さば,合計,2021,7,503,292480
さば,合計,2021,8,508,308432
さば,合計,2021,9,1014,708560
さば,合計,2021,10,1176,938644
さば,合計,2021,11,1193,886803
さば,合計,2021,12,903,594476
さば,広島,2021,1,1063,546656
さば,広島,2021,2,1038,527184
さば,広島,2021,3,1450,780492
さば,広島,2021,4,892,516170
さば,広島,2021,5,841,491286
さば,広島,2021,6,729,385272
さば,広島,2021,7,502,292178
さば,広島,2021,8,506,307438
さば,広島,2021,9,966,695422
さば,広島,2021,10,1161,933384
さば,広島,2021,11,1156,862287
さば,広島,2021,12,899,592262
さば,愛媛,2021,1,16,5530
さば,愛媛,2021,2,2,410
さば,愛媛,2021,5,9,9355
さば,愛媛,2021,6,20,8813
さば,愛媛,2021,7,1,302
さば,愛媛,2021,8,2,994
さば,愛媛,2021,9,4,3580
さば,愛媛,2021,11,19,18684
さば,愛媛,2021,12,4,2214
さば,大分,2021,3,240,175470
さば,大分,2021,4,231,69688
さば,大分,2021,9,45,9558
さば,大分,2021,10,15,5260
さば,大分,2021,11,18,5832
いわし,合計,2021,1,388,276372
いわし,合計,2021,2,457,309852
いわし,合計,2021,3,424,207036
いわし,合計,2021,4,276,144936
いわし,合計,2021,5,134,86292
いわし,合計,2021,6,449,283500
いわし,合計,2021,7,367,235548
いわし,合計,2021,8,182,132408
いわし,合計,2021,9,131,71172
いわし,合計,2021,10,327,192348
いわし,合計,2021,11,200,107179
いわし,合計,2021,12,150,78192
いわし,広島,2021,1,388,276372
いわし,広島,2021,2,457,309852
いわし,広島,2021,3,424,207036
いわし,広島,2021,4,276,144936
いわし,広島,2021,5,134,86292
いわし,広島,2021,6,449,283500
いわし,広島,2021,7,367,235548
いわし,広島,2021,8,182,132408
いわし,広島,2021,9,131,71172
いわし,広島,2021,10,327,192348
いわし,広島,2021,11,200,107179
いわし,広島,2021,12,150,78192
こいわし,合計,2021,1,310,152464
こいわし,合計,2021,2,799,376207
こいわし,合計,2021,3,1260,597396
こいわし,合計,2021,4,919,499630
こいわし,合計,2021,5,828,475848
こいわし,合計,2021,6,8355,4496731
こいわし,合計,2021,7,2974,1739611
こいわし,合計,2021,8,215,107560
こいわし,合計,2021,9,13,21060
こいわし,合計,2021,10,6,9720
こいわし,合計,2021,11,9,10530
こいわし,合計,2021,12,4,6480
こいわし,広島,2021,1,310,152464
こいわし,広島,2021,2,799,376207
こいわし,広島,2021,3,1260,597396
こいわし,広島,2021,4,919,499630
こいわし,広島,2021,5,828,475848
こいわし,広島,2021,6,8355,4496731
こいわし,広島,2021,7,2974,1739611
こいわし,広島,2021,8,215,107560
こいわし,広島,2021,9,13,21060
こいわし,広島,2021,10,6,9720
こいわし,広島,2021,11,9,10530
こいわし,広島,2021,12,4,6480
さより,合計,2021,1,144,146206
さより,合計,2021,2,880,991697
さより,合計,2021,3,794,988205
さより,合計,2021,4,1610,1668179
さより,合計,2021,5,292,358527
さより,合計,2021,6,38,62541
さより,合計,2021,7,12,12604
さより,合計,2021,8,26,40491
さより,合計,2021,9,11,19360
さより,合計,2021,10,113,151918
さより,合計,2021,11,181,219295
さより,合計,2021,12,122,121404
さより,広島,2021,1,144,146206
さより,広島,2021,2,880,991697
さより,広島,2021,3,794,988205
さより,広島,2021,4,1610,1668179
さより,広島,2021,5,292,358527
さより,広島,2021,6,38,62541
さより,広島,2021,7,12,12604
さより,広島,2021,8,26,40491
さより,広島,2021,9,11,19360
さより,広島,2021,10,113,151918
さより,広島,2021,11,181,219295
さより,広島,2021,12,122,121404
このしろ,合計,2021,1,844,314650
このしろ,合計,2021,2,861,319645
このしろ,合計,2021,3,163,58704
このしろ,合計,2021,4,60,16192
このしろ,合計,2021,5,67,13402
このしろ,合計,2021,6,87,18747
このしろ,合計,2021,7,19,3704
このしろ,合計,2021,8,81,23290
このしろ,合計,2021,9,361,118449
このしろ,合計,2021,10,1144,408526
このしろ,合計,2021,11,668,248690
このしろ,合計,2021,12,668,176209
このしろ,広島,2021,1,844,314650
このしろ,広島,2021,2,861,319645
このしろ,広島,2021,3,163,58704
このしろ,広島,2021,4,60,16192
このしろ,広島,2021,5,67,13402
このしろ,広島,2021,6,87,18747
このしろ,広島,2021,7,19,3704
このしろ,広島,2021,8,81,23290
このしろ,広島,2021,9,361,118449
このしろ,広島,2021,10,1142,407826
このしろ,広島,2021,11,668,248690
このしろ,広島,2021,12,668,176209
このしろ,愛媛,2021,10,2,700
さわら,合計,2021,1,173,259544
さわら,合計,2021,2,214,363391
さわら,合計,2021,3,227,393850
さわら,合計,2021,4,1933,1758700
さわら,合計,2021,5,3897,2177539
さわら,合計,2021,6,2624,2048175
さわら,合計,2021,7,1104,1092125
さわら,合計,2021,8,211,245063
さわら,合計,2021,9,1438,1466230
さわら,合計,2021,10,3698,3820495
さわら,合計,2021,11,2169,2442166
さわら,合計,2021,12,497,750058
さわら,広島,2021,1,143,218714
さわら,広島,2021,2,135,230838
さわら,広島,2021,3,146,267575
さわら,広島,2021,4,1851,1636646
さわら,広島,2021,5,3897,2177539
