品目,産地,年,月,数量_kg,金額_円
あじ,合計,2022,1,1933,2669707
あじ,合計,2022,2,1767,2685013
あじ,合計,2022,3,2730,4070850
あじ,合計,2022,4,2726,3743910
あじ,合計,2022,5,2725,3650733
あじ,合計,2022,6,2904,4044448
あじ,合計,2022,7,2764,3955380
あじ,合計,2022,8,2451,3744476
あじ,合計,2022,9,1744,2749331
あじ,合計,2022,10,2292,3315286
あじ,合計,2022,11,2395,3175239
あじ,合計,2022,12,1897,2823283
あじ,島根,2022,10,21,13025
あじ,広島,2022,1,942,704913
あじ,広島,2022,2,805,789592
あじ,広島,2022,3,1415,1530785
あじ,広島,2022,4,1558,1514628
あじ,広島,2022,5,1568,1522802
あじ,広島,2022,6,1744,1851144
あじ,広島,2022,7,1584,1691615
あじ,広島,2022,8,1319,1563924
あじ,広島,2022,9,822,948351
あじ,広島,2022,10,1422,1583527
あじ,広島,2022,11,1607,1407504
あじ,広島,2022,12,1087,1009022
あじ,愛媛,2022,1,990,1964794
あじ,愛媛,2022,2,962,1895421
あじ,愛媛,2022,3,1315,2540065
あじ,愛媛,2022,4,1169,2229282
あじ,愛媛,2022,5,1157,2127931
あじ,愛媛,2022,6,1160,2193304
あじ,愛媛,2022,7,1180,2263765
あじ,愛媛,2022,8,1131,2180552
あじ,愛媛,2022,9,922,1800980
あじ,愛媛,2022,10,850,1718734
あじ,愛媛,2022,11,788,1767735
あじ,愛媛,2022,12,810,1814261
さば,合計,2022,1,1355,684621
さば,合計,2022,2,1060,651418
さば,合計,2022,3,999,538488
さば,合計,2022,4,598,319545
さば,合計,2022,5,938,474381
さば,合計,2022,6,732,424323
さば,合計,2022,7,563,332463
さば,合計,2022,8,882,525034
さば,合計,2022,9,707,615488
さば,合計,2022,10,821,673138
さば,合計,2022,11,1146,1012166
さば,合計,2022,12,670,680235
さば,広島,2022,1,1355,684621
さば,広島,2022,2,1060,651418
さば,広島,2022,3,994,533498
さば,広島,2022,4,587,314901
さば,広島,2022,5,923,459801
さば,広島,2022,6,708,416898
さば,広島,2022,7,563,332463
さば,広島,2022,8,877,520174
さば,広島,2022,9,692,600746
さば,広島,2022,10,821,673138
さば,広島,2022,11,1126,1006258
さば,広島,2022,12,660,676039
さば,愛媛,2022,3,1,130
さば,愛媛,2022,4,12,4644
さば,愛媛,2022,6,24,7425
さば,愛媛,2022,11,20,5908
さば,愛媛,2022,12,11,4196
さば,福岡,2022,3,5,4860
さば,福岡,2022,5,15,14580
さば,福岡,2022,8,5,4860
さば,福岡,2022,9,15,14742
いわし,合計,2022,1,437,338409
いわし,合計,2022,2,575,393922
いわし,合計,2022,3,523,336874
いわし,合計,2022,4,293,195588
いわし,合計,2022,5,181,121824
いわし,合計,2022,6,254,170208
いわし,合計,2022,7,300,184896
いわし,合計,2022,8,87,59292
いわし,合計,2022,9,67,78516
いわし,合計,2022,10,104,95688
いわし,合計,2022,11,199,219888
いわし,合計,2022,12,32,44172
いわし,広島,2022,1,437,338409
いわし,広島,2022,2,575,393922
いわし,広島,2022,3,523,336874
いわし,広島,2022,4,293,195588
いわし,広島,2022,5,181,121824
いわし,広島,2022,6,254,170208
いわし,広島,2022,7,300,184896
いわし,広島,2022,8,87,59292
いわし,広島,2022,9,67,78516
いわし,広島,2022,10,104,95688
いわし,広島,2022,11,199,219888
いわし,広島,2022,12,32,44172
こいわし,合計,2022,1,230,128288
こいわし,合計,2022,2,790,377374
こいわし,合計,2022,3,1295,698058
こいわし,合計,2022,4,939,582524
こいわし,合計,2022,5,619,376866
こいわし,合計,2022,6,6444,4374950
こいわし,合計,2022,7,2931,1877850
こいわし,合計,2022,8,480,293220
こいわし,合計,2022,9,420,252828
こいわし,合計,2022,10,450,278640
こいわし,合計,2022,11,600,366336
こいわし,合計,2022,12,117,71928
こいわし,広島,2022,1,230,128288
こいわし,広島,2022,2,790,377374
こいわし,広島,2022,3,1295,698058
こいわし,広島,2022,4,939,582524
こいわし,広島,2022,5,619,376866
こいわし,広島,2022,6,6444,4374950
こいわし,広島,2022,7,2931,1877850
こいわし,広島,2022,8,480,293220
こいわし,広島,2022,9,420,252828
こいわし,広島,2022,10,450,278640
こいわし,広島,2022,11,600,366336
こいわし,広島,2022,12,117,71928
さより,合計,2022,1,105,155298
さより,合計,2022,2,1271,727889
さより,合計,2022,3,2093,1389572
さより,合計,2022,4,1321,1375361
さより,合計,2022,5,209,227729
さより,合計,2022,8,30,67714
さより,合計,2022,9,67,161154
さより,合計,2022,10,64,166392
さより,合計,2022,11,22,59333
さより,合計,2022,12,48,140749
さより,広島,2022,1,105,155298
さより,広島,2022,2,1271,727889
さより,広島,2022,3,2093,1389572
さより,広島,2022,4,1321,1375361
さより,広島,2022,5,209,227729
さより,広島,2022,8,30,67714
さより,広島,2022,9,67,161154
さより,広島,2022,10,64,166392
さより,広島,2022,11,22,59333
さより,広島,2022,12,48,140749
このしろ,合計,2022,1,204,58964
このしろ,合計,2022,3,4,1188
このしろ,合計,2022,4,1676,608001
このしろ,合計,2022,5,1146,266032
このしろ,合計,2022,6,328,77847
このしろ,合計,2022,7,98,25467
このしろ,合計,2022,8,225,59357
このしろ,合計,2022,9,911,318704
このしろ,合計,2022,10,175,48599
このしろ,合計,2022,11,218,86194
このしろ,合計,2022,12,1380,434367
このしろ,広島,2022,1,204,58964
このしろ,広島,2022,3,4,1188
このしろ,広島,2022,4,1676,608001
このしろ,広島,2022,5,1146,266032
このしろ,広島,2022,6,328,77847
このしろ,広島,2022,7,98,25467
このしろ,広島,2022,8,225,59357
このしろ,広島,2022,9,911,318704
このしろ,広島,2022,10,175,48599
このしろ,広島,2022,11,218,86194
このしろ,広島,2022,12,1380,434367
さわら,合計,2022,1,357,571808
さわら,合計,2022,2,212,352276
さわら,合計,2022,3,289,529876
さわら,合計,2022,4,2094,2645272
さわら,合計,2022,5,4549,3465959
さわら,合計,2022,6,4051,3748523
さわら,合計,2022,7,1044,1299833
さわら,合計,2022,8,243,284613
さわら,合計,2022,9,2688,3722918
さわら,合計,2022,10,2166,3025586
さわら,合計,2022,11,1974,2601800
さわら,合計,2022,12,264,515310
さわら,広島,2022,1,357,571808
さわら,広島,2022,2,212,352276
さわら,広島,2022,3,277,511732
さわら,広島,2022,4,2094,2645272
さわら,広島,2022,5,4516,3422426
さわら,広島,2022,6,4019,3706736
さわら,広島,2022,7,1027,1276246
さわら,広島,2022,8,201,235216
さわら,広島,2022,9,2688,3722918
さわら,広島,2022,10,2166,3025586
さわら,広島,2022,11,1969,2597912
さわら,広島,2022,12,207,430130
さわら,山口,2022,11,5,3888
さわら,愛媛,2022,3,11,18144
さわら,愛媛,2022,7,17,23587
さわら,愛媛,2022,8,42,49397
さわら,愛媛,2022,12,57,85180
さわら,愛媛,2022,5,34,43533
さわら,愛媛,2022,6,31,41787
ヤズ,合計,2022,1,279,120128
ヤズ,合計,2022,2,58,26125
ヤズ,合計,2022,3,30,15261
ヤズ,合計,2022,4,73,27572
ヤズ,合計,2022,5,107,26935
ヤズ,合計,2022,6,90,32304
ヤズ,合計,2022,7,43,24235
ヤズ,合計,2022,8,99,34192
ヤズ,合計,2022,9,244,113493
ヤズ,合計,2022,10,441,201794
ヤズ,合計,2022,11,689,292668
ヤズ,合計,2022,12,543,229050
ヤズ,広島,2022,1,150,67099
ヤズ,広島,2022,2,53,24203
ヤズ,広島,2022,3,26,14440
ヤズ,広島,2022,4,59,24192
ヤズ,広島,2022,5,107,26935
ヤズ,広島,2022,6,90,32304
ヤズ,広島,2022,7,39,22399
ヤズ,広島,2022,8,94,33004
ヤズ,広島,2022,9,199,98499
ヤズ,広島,2022,10,336,157031
ヤズ,広島,2022,11,500,219564
ヤズ,広島,2022,12,464,198352
ヤズ,愛媛,2022,1,128,53029
ヤズ,愛媛,2022,2,5,1922
ヤズ,愛媛,2022,3,4,821
ヤズ,愛媛,2022,4,14,3380
ヤズ,愛媛,2022,7,3,1836
ヤズ,愛媛,2022,8,5,1188
ヤズ,愛媛,2022,9,45,14994
ヤズ,愛媛,2022,10,105,44763
ヤズ,愛媛,2022,11,189,73104
ヤズ,愛媛,2022,12,79,30698
はまち,合計,2022,1,4561,5528299
はまち,合計,2022,2,3047,4413718
はまち,合計,2022,3,4240,6193809
はまち,合計,2022,4,4112,5767804
はまち,合計,2022,5,4554,5927613
はまち,合計,2022,6,4600,5723700
はまち,合計,2022,7,3634,5361044
はまち,合計,2022,8,3777,5612579
はまち,合計,2022,9,4082,5292059
はまち,合計,2022,10,5563,6574938
はまち,合計,2022,11,5193,6144977
はまち,合計,2022,12,5101,7733284
はまち,広島,2022,1,1695,833114
はまち,広島,2022,2,732,457682
はまち,広島,2022,3,1017,632739
はまち,広島,2022,4,1016,325514
はまち,広島,2022,5,1499,459980
はまち,広島,2022,6,1901,769068
はまち,広島,2022,7,1332,1052309
はまち,広島,2022,8,1466,1127803
はまち,広島,2022,9,2157,1515743
はまち,広島,2022,10,3243,1893302
はまち,広島,2022,11,3065,1775935
はまち,広島,2022,12,2661,2711782
はまち,愛媛,2022,1,2867,4695185
はまち,愛媛,2022,2,2315,3956036
はまち,愛媛,2022,3,3223,5561070
はまち,愛媛,2022,4,3096,5442290
はまち,愛媛,2022,5,3056,5467633
はまち,愛媛,2022,6,2699,4954632
はまち,愛媛,2022,7,2302,4308735
はまち,愛媛,2022,8,2312,4484776
はまち,愛媛,2022,9,1925,3776316
はまち,愛媛,2022,10,2319,4681636
はまち,愛媛,2022,11,2128,4369042
はまち,愛媛,2022,12,2440,5021502
ぶり,合計,2022,1,1284,1976152
ぶり,合計,2022,2,1020,2026998
ぶり,合計,2022,3,1095,2089910
ぶり,合計,2022,4,1225,1900961
ぶり,合計,2022,5,925,1775230
ぶり,合計,2022,6,723,1585829
ぶり,合計,2022,7,722,1342045
ぶり,合計,2022,8,817,1047581
ぶり,合計,2022,9,638,1134140
ぶり,合計,2022,10,730,1211616
ぶり,合計,2022,11,669,1346979
ぶり,合計,2022,12,5114,10510453
ぶり,東京,2022,1,644,1479430
ぶり,東京,2022,2,605,1394599
ぶり,東京,2022,3,616,1414018
ぶり,東京,2022,4,578,1448239
ぶり,東京,2022,5,563,1412020
ぶり,東京,2022,6,596,1496251
ぶり,東京,2022,7,477,1203497
ぶり,東京,2022,8,282,748166
ぶり,東京,2022,9,308,844578
ぶり,東京,2022,10,358,981733
ぶり,東京,2022,11,381,1048238
ぶり,東京,2022,12,1319,3502296
