品目,産地,年,月,数量_kg,金額_円
さより,合計,2025,3,1449,1453564
さより,合計,2025,4,1492,1418538
さより,合計,2025,5,245,282117
さより,合計,2025,6,113,111660
さより,合計,2025,7,69,91879
さより,合計,2025,8,97,126008
さより,合計,2025,9,245,323543
さより,合計,2025,10,325,469241
さより,合計,2025,11,356,570069
さより,合計,2025,12,475,827831
さより,合計,2025,9,81,113897
さより,広島,2025,1,756,996499
さより,広島,2025,2,1306,1451651
さより,広島,2025,3,1449,1453564
さより,広島,2025,4,1492,1418538
さより,広島,2025,5,245,282117
さより,広島,2025,6,113,111660
さより,広島,2025,7,69,91879
さより,広島,2025,8,97,126008
さより,広島,2025,9,164,209646
さより,広島,2025,10,325,469241
さより,広島,2025,11,356,570069
さより,広島,2025,12,475,827831
このしろ,合計,2025,1,1214,231070
このしろ,合計,2025,2,583,116865
このしろ,合計,2025,3,211,44864
このしろ,合計,2025,4,485,113215
このしろ,合計,2025,5,145,17833
このしろ,合計,2025,6,154,24141
このしろ,合計,2025,7,117,18191
このしろ,合計,2025,8,49,7599
このしろ,合計,2025,9,391,108426
このしろ,合計,2025,10,919,218896
このしろ,合計,2025,11,833,186674
このしろ,合計,2025,12,861,182994
このしろ,広島,2025,1,1214,231070
このしろ,広島,2025,2,583,116865
このしろ,広島,2025,3,211,44864
このしろ,広島,2025,4,485,113215
このしろ,広島,2025,5,145,17833
このしろ,広島,2025,6,154,24141
このしろ,広島,2025,7,117,18191
このしろ,広島,2025,8,49,7599
このしろ,広島,2025,9,391,108426
このしろ,広島,2025,10,919,218896
このしろ,広島,2025,11,833,186674
このしろ,広島,2025,12,861,182994
さわら,合計,2025,1,340,623445
さわら,合計,2025,2,232,462973
さわら,合計,2025,3,336,647878
さわら,合計,2025,4,571,1011896
さわら,合計,2025,5,1620,1499054
さわら,合計,2025,6,1299,1083421
さわら,合計,2025,7,75,101465
さわら,合計,2025,8,300,315442
さわら,合計,2025,9,1117,1209658
さわら,合計,2025,10,727,762289
さわら,合計,2025,11,706,701853
さわら,合計,2025,12,822,815408
さわら,広島,2025,1,340,623445
さわら,広島,2025,2,232,462973
さわら,広島,2025,3,336,647878
さわら,広島,2025,4,571,1011896
さわら,広島,2025,5,1620,1499054
さわら,広島,2025,6,1299,1083421
さわら,広島,2025,7,71,95568
さわら,広島,2025,8,121,136876
さわら,広島,2025,9,1015,1117424
さわら,広島,2025,10,724,759481
さわら,広島,2025,11,692,686733
さわら,広島,2025,12,381,399108
さわら,山口,2025,10,3,2808
さわら,山口,2025,11,14,15120
さわら,山口,2025,12,8,9720
さわら,愛媛,2025,7,4,5897
さわら,愛媛,2025,8,179,178566
さわら,愛媛,2025,9,102,92234
さわら,愛媛,2025,12,433,406580
ヤズ,合計,2025,1,218,123089
ヤズ,合計,2025,2,149,88478
ヤズ,合計,2025,3,66,39150
ヤズ,合計,2025,4,103,47780
ヤズ,合計,2025,5,115,42152
ヤズ,合計,2025,6,130,64098
ヤズ,合計,2025,7,48,26676
ヤズ,合計,2025,8,83,35823
ヤズ,合計,2025,9,373,138762
ヤズ,合計,2025,10,809,295652
ヤズ,合計,2025,11,771,205198
ヤズ,合計,2025,12,388,122583
ヤズ,島根,2025,9,70,22140
ヤズ,広島,2025,1,98,52218
ヤズ,広島,2025,2,30,20628
ヤズ,広島,2025,3,35,21600
ヤズ,広島,2025,4,60,27929
ヤズ,広島,2025,5,111,40759
ヤズ,広島,2025,6,108,52067
ヤズ,広島,2025,7,48,26676
ヤズ,広島,2025,8,15,8640
ヤズ,広島,2025,9,88,36774
ヤズ,広島,2025,10,493,169593
ヤズ,広島,2025,11,568,143316
ヤズ,広島,2025,12,288,93776
ヤズ,愛媛,2025,1,121,70871
ヤズ,愛媛,2025,2,119,67850
ヤズ,愛媛,2025,3,31,17550
ヤズ,愛媛,2025,4,43,19851
ヤズ,愛媛,2025,5,4,1393
ヤズ,愛媛,2025,6,22,12031
ヤズ,愛媛,2025,8,68,27183
ヤズ,愛媛,2025,9,215,79848
ヤズ,愛媛,2025,10,315,126059
ヤズ,愛媛,2025,11,202,61882
ヤズ,愛媛,2025,12,100,28807
はまち,合計,2025,1,6320,9823750
はまち,合計,2025,2,4512,7045257
はまち,合計,2025,3,5542,8550758
はまち,合計,2025,4,8216,9137814
はまち,合計,2025,5,6083,7782473
はまち,合計,2025,6,5190,6863440
はまち,合計,2025,7,4883,6727340
はまち,合計,2025,8,5971,7990759
はまち,合計,2025,9,5027,6644689
はまち,合計,2025,10,5495,7036590
はまち,合計,2025,11,6735,7760264
はまち,合計,2025,12,6325,8320541
はまち,島根,2025,6,36,18144
はまち,広島,2025,1,382,527308
はまち,広島,2025,2,184,222809
はまち,広島,2025,3,587,775671
はまち,広島,2025,4,3370,930726
はまち,広島,2025,5,1899,478822
はまち,広島,2025,6,1388,356944
はまち,広島,2025,7,1287,362845
はまち,広島,2025,8,2139,1298133
はまち,広島,2025,9,1383,392223
はまち,広島,2025,10,1690,481193
はまち,広島,2025,11,2639,616662
はまち,広島,2025,12,2067,886796
はまち,愛媛,2025,1,5939,9296442
はまち,愛媛,2025,2,4329,6822448
はまち,愛媛,2025,3,4956,7775087
はまち,愛媛,2025,4,4846,8207088
はまち,愛媛,2025,5,4184,7303651
はまち,愛媛,2025,6,3765,6488352
はまち,愛媛,2025,7,3596,6364495
はまち,愛媛,2025,8,3832,6692626
はまち,愛媛,2025,9,3644,6252466
はまち,愛媛,2025,10,3805,6555397
はまち,愛媛,2025,11,4096,7143602
はまち,愛媛,2025,12,4258,7433745
ぶり,合計,2025,1,1528,2110076
ぶり,合計,2025,2,1504,2294015
ぶり,合計,2025,3,1925,2377854
ぶり,合計,2025,4,1628,1918485
ぶり,合計,2025,5,642,1140245
ぶり,合計,2025,6,676,1108015
ぶり,合計,2025,7,681,1108175
ぶり,合計,2025,8,815,1278791
ぶり,合計,2025,9,708,1153509
ぶり,合計,2025,10,850,1368754
ぶり,合計,2025,11,884,1418208
ぶり,合計,2025,12,6934,10069419
ぶり,東京,2025,1,534,1070320
ぶり,東京,2025,2,710,1429314
ぶり,東京,2025,3,669,1347313
ぶり,東京,2025,4,614,1234349
ぶり,東京,2025,5,405,812722
ぶり,東京,2025,6,422,846185
ぶり,東京,2025,7,400,802063
ぶり,東京,2025,8,468,939169
ぶり,東京,2025,9,362,725233
ぶり,東京,2025,10,405,811392
ぶり,東京,2025,11,338,681627
ぶり,東京,2025,12,1605,2771225
ぶり,広島,2025,1,994,1039756
ぶり,広島,2025,2,794,864701
ぶり,広島,2025,3,1255,1030541
ぶり,広島,2025,4,1014,684136
ぶり,広島,2025,5,237,327523
ぶり,広島,2025,6,255,261830
ぶり,広島,2025,7,282,306112
ぶり,広島,2025,8,347,339622
ぶり,広島,2025,9,347,428276
ぶり,広島,2025,10,444,557362
ぶり,広島,2025,11,545,736581
ぶり,広島,2025,12,5272,7225284
ぶり,愛媛,2025,12,58,72910
まなかつお,合計,2025,1,311,804327
まなかつお,合計,2025,2,454,1055595
まなかつお,合計,2025,3,155,376661
まなかつお,合計,2025,4,171,474370
まなかつお,合計,2025,5,34,70448
まなかつお,合計,2025,6,101,249437
まなかつお,合計,2025,7,45,76294
まなかつお,合計,2025,8,175,182074
まなかつお,合計,2025,9,397,309383
まなかつお,合計,2025,10,244,232359
まなかつお,合計,2025,11,197,270710
まなかつお,合計,2025,12,128,438701
まなかつお,広島,2025,1,299,795839
まなかつお,広島,2025,2,454,1055595
まなかつお,広島,2025,3,155,376661
まなかつお,広島,2025,4,171,474370
まなかつお,広島,2025,5,34,70448
まなかつお,広島,2025,6,101,249437
まなかつお,広島,2025,7,45,76294
まなかつお,広島,2025,8,175,182074
まなかつお,広島,2025,9,397,309383
まなかつお,広島,2025,10,238,222499
まなかつお,広島,2025,11,197,270710
まなかつお,広島,2025,12,128,438701
まなかつお,愛媛,2025,1,11,8488
まなかつお,愛媛,2025,10,6,9860
かつお,合計,2025,1,298,234909
かつお,合計,2025,2,263,241621
かつお,合計,2025,3,238,184562
かつお,合計,2025,4,308,227698
かつお,合計,2025,5,352,235463
かつお,合計,2025,6,283,209826
かつお,合計,2025,7,487,308792
かつお,合計,2025,8,435,269646
かつお,合計,2025,9,539,377193
かつお,合計,2025,10,470,321520
かつお,合計,2025,11,425,275256
かつお,合計,2025,12,282,186237
かつお,広島,2025,1,298,234909
かつお,広島,2025,2,263,241621
かつお,広島,2025,3,238,184562
かつお,広島,2025,4,308,227698
かつお,広島,2025,5,352,235463
かつお,広島,2025,6,283,209826
かつお,広島,2025,7,487,308792
かつお,広島,2025,8,435,269646
かつお,広島,2025,9,539,377193
かつお,広島,2025,10,470,321520
かつお,広島,2025,11,425,275256
かつお,広島,2025,12,282,186237
かじき,合計,2025,1,47,103226
かじき,合計,2025,2,30,48600
かじき,合計,2025,3,479,745010
かじき,合計,2025,4,539,944404
かじき,合計,2025,5,398,738245
かじき,合計,2025,6,300,558852
かじき,合計,2025,7,362,608116
かじき,合計,2025,8,555,996344
かじき,合計,2025,9,385,680849
かじき,合計,2025,10,435,717042
かじき,合計,2025,11,395,609221
かじき,合計,2025,12,976,1834783
かじき,広島,2025,1,47,103226
かじき,広島,2025,2,30,48600
かじき,広島,2025,3,479,745010
かじき,広島,2025,4,539,944404
かじき,広島,2025,5,398,738245
かじき,広島,2025,6,300,558852
かじき,広島,2025,7,362,608116
かじき,広島,2025,8,555,996344
かじき,広島,2025,9,385,680849
かじき,広島,2025,10,435,717042
かじき,広島,2025,11,395,609221
かじき,広島,2025,12,976,1834783
まぐろ,合計,2025,1,22,36523
まぐろ,合計,2025,2,106,116926
まぐろ,合計,2025,3,31,36935
まぐろ,合計,2025,4,4,9720
まぐろ,合計,2025,5,5,15714
まぐろ,合計,2025,6,151,112026
まぐろ,合計,2025,7,145,109759
まぐろ,合計,2025,8,36,19692
まぐろ,合計,2025,9,32,29990
まぐろ,合計,2025,10,29,27973
まぐろ,合計,2025,12,4,10781
まぐろ,広島,2025,1,22,36523
まぐろ,広島,2025,2,106,116926
まぐろ,広島,2025,3,31,36935
まぐろ,広島,2025,4,4,9720
まぐろ,広島,2025,5,5,15714
まぐろ,広島,2025,6,151,112026
まぐろ,広島,2025,7,145,109759
まぐろ,広島,2025,8,36,19692
まぐろ,広島,2025,9,32,29990
まぐろ,広島,2025,10,29,27973
まぐろ,広島,2025,12,4,10781
いさき,合計,2025,1,175,177890
いさき,合計,2025,2,119,124374
いさき,合計,2025,3,174,169745
いさき,合計,2025,4,200,203092
いさき,合計,2025,5,311,269460
いさき,合計,2025,6,838,810327
いさき,合計,2025,7,579,595184
いさき,合計,2025,8,274,331700
いさき,合計,2025,9,206,276824
いさき,合計,2025,10,289,392157
いさき,合計,2025,11,332,344112
いさき,合計,2025,12,127,145101
いさき,広島,2025,1,24,17278
いさき,広島,2025,2,4,1231
いさき,広島,2025,3,75,61118
いさき,広島,2025,4,134,127543
いさき,広島,2025,5,255,202809
いさき,広島,2025,6,283,192229
いさき,広島,2025,7,221,189608
いさき,広島,2025,8,70,65133
いさき,広島,2025,9,32,26313
いさき,広島,2025,10,34,34227
いさき,広島,2025,11,113,71737
いさき,広島,2025,12,11,8635
いさき,愛媛,2025,1,151,160612
いさき,愛媛,2025,2,115,123143
いさき,愛媛,2025,3,100,108627
いさき,愛媛,2025,4,66,75549
いさき,愛媛,2025,5,56,66651
いさき,愛媛,2025,6,555,618098
いさき,愛媛,2025,7,358,405576
いさき,愛媛,2025,8,204,266567
いさき,愛媛,2025,9,174,250511
いさき,愛媛,2025,10,256,357930
いさき,愛媛,2025,11,218,272375
いさき,愛媛,2025,12,115,136466
たちうお,合計,2025,1,963,953641
たちうお,合計,2025,2,834,985414
たちうお,合計,2025,3,202,477701
たちうお,合計,2025,4,606,960400
たちうお,合計,2025,5,737,1291909
たちうお,合計,2025,6,1033,1405198
たちうお,合計,2025,7,1138,1333521
たちうお,合計,2025,8,1455,1289956
たちうお,合計,2025,9,2737,1971345
たちうお,合計,2025,10,3020,2186475
たちうお,合計,2025,11,2240,1850281
たちうお,合計,2025,12,1227,1243387
たちうお,広島,2025,1,963,953641
たちうお,広島,2025,2,679,870807
たちうお,広島,2025,3,199,473597
たちうお,広島,2025,4,606,960400
たちうお,広島,2025,5,737,1291909
たちうお,広島,2025,6,1018,1383760
たちうお,広島,2025,7,1138,1333521
たちうお,広島,2025,8,1455,1289956
たちうお,広島,2025,9,2730,1956517
たちうお,広島,2025,10,3012,2173234
たちうお,広島,2025,11,2227,1825301
たちうお,広島,2025,12,1227,1243387
たちうお,愛媛,2025,2,155,114607
たちうお,大分,2025,3,4,4104
たちうお,大分,2025,6,15,21438
たちうお,大分,2025,9,8,14828
たちうお,大分,2025,10,8,13241
たちうお,大分,2025,11,13,24980
ぼら,合計,2025,1,267,54530
ぼら,合計,2025,2,452,90337
ぼら,合計,2025,3,609,124582
ぼら,合計,2025,4,888,132342
ぼら,合計,2025,5,240,26755
ぼら,合計,2025,6,192,20342
ぼら,合計,2025,7,116,20007
ぼら,合計,2025,8,37,4158
ぼら,合計,2025,9,26,2171
ぼら,合計,2025,10,264,51369
ぼら,合計,2025,11,281,50762
ぼら,合計,2025,12,267,58938
ぼら,広島,2025,1,249,49908
ぼら,広島,2025,2,441,87183
ぼら,広島,2025,3,600,122293
ぼら,広島,2025,4,888,132342
ぼら,広島,2025,5,240,26755
ぼら,広島,2025,6,192,20342
ぼら,広島,2025,7,113,19548
ぼら,広島,2025,8,37,4158
ぼら,広島,2025,9,26,2171
ぼら,広島,2025,10,264,51369
ぼら,広島,2025,11,281,50762
ぼら,広島,2025,12,267,58938
ぼら,愛媛,2025,1,18,4622
ぼら,愛媛,2025,2,11,3154
ぼら,愛媛,2025,3,9,2289
ぼら,愛媛,2025,7,3,459
たい,合計,2025,1,11934,16740686
たい,合計,2025,2,7909,11043444
たい,合計,2025,3,10078,13029392
たい,合計,2025,4,14460,14533808
たい,合計,2025,5,15949,14045798
たい,合計,2025,6,12048,10901706
たい,合計,2025,7,12246,11462975
たい,合計,2025,8,15981,15958688
たい,合計,2025,9,12588,12115481
たい,合計,2025,10,12724,12722534
たい,合計,2025,11,12604,12973928
たい,合計,2025,12,12556,13826064
たい,広島,2025,1,4138,5663086
たい,広島,2025,2,2993,4052628
たい,広島,2025,3,4569,5291140
たい,広島,2025,4,8802,6607687
たい,広島,2025,5,10618,6582543
たい,広島,2025,6,7828,5007937
たい,広島,2025,7,7354,4853556
たい,広島,2025,8,6924,5299381
たい,広島,2025,9,6163,4466659
たい,広島,2025,10,5412,4262142
たい,広島,2025,11,5324,4477348
たい,広島,2025,12,4848,4788935
たい,山口,2025,5,2,648
たい,山口,2025,6,2,778
たい,愛媛,2025,1,7797,11077600
たい,愛媛,2025,2,4916,6990816
たい,愛媛,2025,3,5509,7738252
たい,愛媛,2025,4,5658,7926121
たい,愛媛,2025,5,5330,7462607
たい,愛媛,2025,6,4218,5892991
たい,愛媛,2025,7,4892,6609419
たい,愛媛,2025,8,9058,10659307
たい,愛媛,2025,9,6425,7648822
たい,愛媛,2025,10,7312,8460392
たい,愛媛,2025,11,7280,8496580
たい,愛媛,2025,12,7708,9037129
ちだい,合計,2025,1,497,184259
ちだい,合計,2025,2,373,149326
ちだい,合計,2025,3,470,191700
ちだい,合計,2025,4,1179,320467
ちだい,合計,2025,5,1200,230532
ちだい,合計,2025,6,837,231710
ちだい,合計,2025,7,733,198693
ちだい,合計,2025,8,332,90944
ちだい,合計,2025,9,536,170501
ちだい,合計,2025,10,2012,464713
ちだい,合計,2025,11,1624,340406
ちだい,合計,2025,12,590,145953
ちだい,広島,2025,1,487,182164
ちだい,広島,2025,2,373,149326
ちだい,広島,2025,3,470,191700
ちだい,広島,2025,4,1179,320467
ちだい,広島,2025,5,1199,230413
ちだい,広島,2025,6,837,231710
ちだい,広島,2025,7,733,198693
ちだい,広島,2025,8,331,90890
ちだい,広島,2025,9,536,170501
ちだい,広島,2025,10,2012,464713
ちだい,広島,2025,11,1624,340406
ちだい,広島,2025,12,590,145953
ちだい,愛媛,2025,1,10,2095
ちだい,愛媛,2025,5,1,119
ちだい,愛媛,2025,8,1,54
ちぬ,合計,2025,1,1797,776399
ちぬ,合計,2025,2,1789,839777
ちぬ,合計,2025,3,3017,1336853
ちぬ,合計,2025,4,4298,1431745
ちぬ,合計,2025,5,3870,814892
ちぬ,合計,2025,6,2262,741467
ちぬ,合計,2025,7,1666,664263
ちぬ,合計,2025,8,1746,835388
ちぬ,合計,2025,9,1369,568968
ちぬ,合計,2025,10,2118,988087
ちぬ,合計,2025,11,1563,661657
ちぬ,合計,2025,12,1416,573461
ちぬ,広島,2025,1,1612,649833
ちぬ,広島,2025,2,1664,736119
ちぬ,広島,2025,3,2735,1145302
ちぬ,広島,2025,4,4238,1388329
ちぬ,広島,2025,5,3491,678594
ちぬ,広島,2025,6,1735,389849
ちぬ,広島,2025,7,1086,342301
ちぬ,広島,2025,8,1007,373771
ちぬ,広島,2025,9,1228,472426
ちぬ,広島,2025,10,1574,596923
ちぬ,広島,2025,11,1365,531668
ちぬ,広島,2025,12,1175,468375
ちぬ,山口,2025,6,2,205
ちぬ,山口,2025,8,7,864
ちぬ,山口,2025,9,6,605
ちぬ,山口,2025,11,4,389
ちぬ,山口,2025,12,7,1189
ちぬ,愛媛,2025,1,185,126566
ちぬ,愛媛,2025,2,126,103658
ちぬ,愛媛,2025,3,282,191551
ちぬ,愛媛,2025,4,60,43416
ちぬ,愛媛,2025,5,379,136298
ちぬ,愛媛,2025,6,525,351413
ちぬ,愛媛,2025,7,581,321962
ちぬ,愛媛,2025,8,732,460753
ちぬ,愛媛,2025,9,135,95937
ちぬ,愛媛,2025,10,544,391164
ちぬ,愛媛,2025,11,194,129600
ちぬ,愛媛,2025,12,235,103897
れんこ,合計,2025,1,64,54876
れんこ,合計,2025,2,42,37016
れんこ,合計,2025,3,211,170815
れんこ,合計,2025,4,167,117213
れんこ,合計,2025,5,19,9170
れんこ,合計,2025,6,105,49954
れんこ,合計,2025,7,15,7717
れんこ,合計,2025,8,77,44706
れんこ,合計,2025,9,73,35938
れんこ,合計,2025,10,69,34900
れんこ,合計,2025,11,47,25582
れんこ,合計,2025,12,20,8100
れんこ,広島,2025,1,64,54876
れんこ,広島,2025,2,42,37016
れんこ,広島,2025,3,211,170815
れんこ,広島,2025,4,167,117213
れんこ,広島,2025,5,19,9170
れんこ,広島,2025,6,105,49954
れんこ,広島,2025,7,15,7717
れんこ,広島,2025,8,77,44706
れんこ,広島,2025,9,73,35938
れんこ,広島,2025,10,69,34900
れんこ,広島,2025,11,47,25582
れんこ,広島,2025,12,20,8100
めんたい,合計,2025,1,1066,1247666
めんたい,合計,2025,2,1038,1151971
めんたい,合計,2025,3,1480,1528695
めんたい,合計,2025,4,1865,1694667
めんたい,合計,2025,5,989,1036179
めんたい,合計,2025,6,155,261555
めんたい,合計,2025,7,158,262904
めんたい,合計,2025,8,848,1131764
めんたい,合計,2025,9,1269,1482803
めんたい,合計,2025,10,2150,1826655
めんたい,合計,2025,11,1733,1565955
めんたい,合計,2025,12,1604,1537008
めんたい,広島,2025,1,1036,1219834
めんたい,広島,2025,2,963,1083402
めんたい,広島,2025,3,1435,1485947
めんたい,広島,2025,4,1753,1584426
めんたい,広島,2025,5,954,1000794
めんたい,広島,2025,6,155,261555
めんたい,広島,2025,7,158,262904
めんたい,広島,2025,8,848,1131764
めんたい,広島,2025,9,1269,1482803
めんたい,広島,2025,10,2125,1807717
めんたい,広島,2025,11,1733,1565955
めんたい,広島,2025,12,1584,1518632
めんたい,愛媛,2025,1,30,27832
めんたい,愛媛,2025,2,75,68569
めんたい,愛媛,2025,3,45,42748
めんたい,愛媛,2025,4,112,110241
めんたい,愛媛,2025,5,35,35385
めんたい,愛媛,2025,10,25,18938
めんたい,愛媛,2025,12,21,18376
すずき,合計,2025,1,859,323552
すずき,合計,2025,2,609,332530
すずき,合計,2025,3,929,517863
すずき,合計,2025,4,1544,701380
すずき,合計,2025,5,1023,499212
すずき,合計,2025,6,564,355711
すずき,合計,2025,7,700,416038
すずき,合計,2025,8,473,384160
すずき,合計,2025,9,499,319689
すずき,合計,2025,10,698,667341
すずき,合計,2025,11,1853,1188958
すずき,合計,2025,12,3214,1101384
すずき,広島,2025,1,845,319177
すずき,広島,2025,2,604,331277
すずき,広島,2025,3,909,510173
すずき,広島,2025,4,1543,700775
すずき,広島,2025,5,1023,499212
すずき,広島,2025,6,564,355711
すずき,広島,2025,7,700,416038
すずき,広島,2025,8,451,349190
すずき,広島,2025,9,499,319689
すずき,広島,2025,10,538,343180
すずき,広島,2025,11,1752,949814
すずき,広島,2025,12,3196,1062688
すずき,山口,2025,12,2,454
すずき,愛媛,2025,1,14,4375
すずき,愛媛,2025,2,6,1253
すずき,愛媛,2025,3,20,7690
すずき,愛媛,2025,4,1,605
すずき,愛媛,2025,8,23,34970
すずき,愛媛,2025,10,160,324161
すずき,愛媛,2025,11,101,239144
すずき,愛媛,2025,12,16,38242
ぐち,合計,2025,1,74,42820
ぐち,合計,2025,2,112,181097
ぐち,合計,2025,3,63,129360
ぐち,合計,2025,4,71,162505
ぐち,合計,2025,5,193,185265
ぐち,合計,2025,6,303,205113
ぐち,合計,2025,7,362,180466
ぐち,合計,2025,8,255,149492
ぐち,合計,2025,9,370,214881
ぐち,合計,2025,10,385,280750
ぐち,合計,2025,11,271,104676
ぐち,合計,2025,12,283,167299
ぐち,広島,2025,1,74,42820
ぐち,広島,2025,2,112,181097
ぐち,広島,2025,3,63,129360
ぐち,広島,2025,4,65,135866
ぐち,広島,2025,5,193,185265
ぐち,広島,2025,6,301,204951
ぐち,広島,2025,7,362,180466
ぐち,広島,2025,8,255,149492
ぐち,広島,2025,9,370,214881
ぐち,広島,2025,10,385,280750
ぐち,広島,2025,11,271,104676
ぐち,広島,2025,12,283,167169
ぐち,山口,2025,12,1,130
ぐち,愛媛,2025,6,2,162
ぐち,愛媛,2025,4,6,26639
はぎ,合計,2025,1,319,302112
はぎ,合計,2025,2,621,409154
はぎ,合計,2025,3,300,234287
はぎ,合計,2025,4,744,632388
はぎ,合計,2025,5,1909,1056298
はぎ,合計,2025,6,1284,733625
はぎ,合計,2025,7,494,288196
はぎ,合計,2025,8,321,203725
はぎ,合計,2025,9,587,453839
はぎ,合計,2025,10,1033,1041799
はぎ,合計,2025,11,1314,1284580
はぎ,合計,2025,12,1282,1240957
はぎ,広島,2025,1,316,299628
はぎ,広島,2025,2,589,364723
はぎ,広島,2025,3,273,197728
はぎ,広島,2025,4,643,517059
はぎ,広島,2025,5,1868,1030421
はぎ,広島,2025,6,1269,726076
