品目,産地,年,月,数量_kg,金額_円
あじ,合計,2025,1,2654,3503026
あじ,合計,2025,2,2442,2985398
あじ,合計,2025,3,2884,3563983
あじ,合計,2025,4,3822,4239675
あじ,合計,2025,5,4244,4224838
あじ,合計,2025,6,3673,4117840
あじ,合計,2025,7,4089,4342489
あじ,合計,2025,8,3422,4231010
あじ,合計,2025,9,2511,3663544
あじ,合計,2025,10,3143,4089910
あじ,合計,2025,11,3310,4045691
あじ,合計,2025,12,2538,3642125
あじ,島根,2025,5,61,37773
あじ,島根,2025,6,100,74136
あじ,島根,2025,7,252,122041
あじ,島根,2025,10,50,24084
あじ,島根,2025,11,50,19872
あじ,広島,2025,1,1411,1357232
あじ,広島,2025,2,1441,1314272
あじ,広島,2025,3,1681,1620484
あじ,広島,2025,4,2500,2180234
あじ,広島,2025,5,2814,2028276
あじ,広島,2025,6,2384,1956396
あじ,広島,2025,7,2349,1759579
あじ,広島,2025,8,1932,1568811
あじ,広島,2025,9,1130,1149277
あじ,広島,2025,10,1592,1484496
あじ,広島,2025,11,1982,1601633
あじ,広島,2025,12,1305,1301740
あじ,山口,2025,2,5,6059
あじ,愛媛,2025,1,1223,2136290
あじ,愛媛,2025,2,956,1635313
あじ,愛媛,2025,3,1203,1943499
あじ,愛媛,2025,4,1322,2059441
あじ,愛媛,2025,5,1231,2097985
あじ,愛媛,2025,6,1186,2084068
あじ,愛媛,2025,7,1302,2375463
あじ,愛媛,2025,8,1490,2662199
あじ,愛媛,2025,9,1365,2504547
あじ,愛媛,2025,10,1448,2552548
あじ,愛媛,2025,11,1260,2415665
あじ,愛媛,2025,12,1233,2340385
あじ,大分,2025,1,20,9504
あじ,大分,2025,2,41,29754
あじ,大分,2025,5,138,60804
あじ,大分,2025,6,3,3240
あじ,大分,2025,7,185,85406
あじ,大分,2025,9,15,9720
あじ,大分,2025,10,53,28782
あじ,大分,2025,11,18,8521
さば,合計,2025,1,2323,2017572
さば,合計,2025,2,2850,2381085
さば,合計,2025,3,2310,2142373
さば,合計,2025,4,1859,1854260
さば,合計,2025,5,1021,511763
さば,合計,2025,6,885,422399
さば,合計,2025,7,760,434252
さば,合計,2025,8,1174,663241
さば,合計,2025,9,1017,782675
さば,合計,2025,10,1959,1316306
さば,合計,2025,11,1421,1030026
さば,合計,2025,12,2479,2334851
さば,広島,2025,1,1652,817057
さば,広島,2025,2,2133,1082948
さば,広島,2025,3,1575,821387
さば,広島,2025,4,1098,552494
さば,広島,2025,5,871,419329
さば,広島,2025,6,822,381941
さば,広島,2025,7,728,415190
さば,広島,2025,8,1048,603223
さば,広島,2025,9,938,753922
さば,広島,2025,10,1814,1268762
さば,広島,2025,11,1324,957616
さば,広島,2025,12,1796,1054735
さば,愛媛,2025,1,663,1195752
さば,愛媛,2025,2,708,1294065
さば,愛媛,2025,3,735,1320986
さば,愛媛,2025,4,711,1278352
さば,愛媛,2025,5,150,92434
さば,愛媛,2025,6,46,35112
さば,愛媛,2025,7,33,19062
さば,愛媛,2025,8,126,60018
さば,愛媛,2025,9,71,26226
さば,愛媛,2025,10,47,21946
さば,愛媛,2025,11,39,51533
さば,愛媛,2025,12,683,1280116
さば,大分,2025,1,7,4763
さば,大分,2025,2,8,4072
さば,大分,2025,4,50,23414
さば,大分,2025,6,17,5346
さば,大分,2025,9,8,2527
さば,大分,2025,10,98,25598
さば,大分,2025,11,58,20877
いわし,合計,2025,1,497,262764
いわし,合計,2025,2,725,391068
いわし,合計,2025,3,330,145908
いわし,合計,2025,4,229,125172
いわし,合計,2025,5,281,144828
いわし,合計,2025,6,447,248076
いわし,合計,2025,7,410,212652
いわし,合計,2025,8,153,82836
いわし,合計,2025,9,250,143921
いわし,合計,2025,10,407,191268
いわし,合計,2025,11,467,231444
いわし,合計,2025,12,195,106380
いわし,広島,2025,1,497,262764
いわし,広島,2025,2,725,391068
いわし,広島,2025,3,330,145908
いわし,広島,2025,4,229,125172
いわし,広島,2025,5,281,144828
いわし,広島,2025,6,447,248076
いわし,広島,2025,7,410,212652
いわし,広島,2025,8,153,82836
いわし,広島,2025,9,250,143921
いわし,広島,2025,10,407,191268
いわし,広島,2025,11,467,231444
いわし,広島,2025,12,195,106380
こいわし,合計,2025,1,592,218430
こいわし,合計,2025,2,1220,568447
こいわし,合計,2025,3,3447,1718396
こいわし,合計,2025,4,658,354665
こいわし,合計,2025,5,450,257007
こいわし,合計,2025,6,7478,3191927
こいわし,合計,2025,7,7455,3390722
こいわし,合計,2025,8,2707,1223563
こいわし,合計,2025,9,162,91260
こいわし,合計,2025,11,195,106812
こいわし,合計,2025,12,339,194940
こいわし,広島,2025,1,592,218430
こいわし,広島,2025,2,1220,568447
こいわし,広島,2025,3,3447,1718396
こいわし,広島,2025,4,658,354665
こいわし,広島,2025,5,450,257007
こいわし,広島,2025,6,7478,3191927
こいわし,広島,2025,7,7455,3390722
こいわし,広島,2025,8,2707,1223563
こいわし,広島,2025,9,162,91260
こいわし,広島,2025,11,195,106812
こいわし,広島,2025,12,339,194940
さより,合計,2025,1,756,996499
さより,合計,2025,2,1306,1451651
