品目,産地,年,月,数量_kg,金額_円
あじ,合計,2025,1,1032,1957734
あじ,合計,2025,2,1276,2285290
あじ,合計,2025,3,2063,3241531
あじ,合計,2025,4,1512,2592484
あじ,合計,2025,5,1619,2723608
あじ,合計,2025,6,1768,2569140
あじ,合計,2025,7,1414,2277383
あじ,合計,2025,8,1301,2393884
あじ,合計,2025,9,1272,2030764
あじ,合計,2025,10,1335,2156840
あじ,合計,2025,11,1224,1872444
あじ,合計,2025,12,1444,2151429
あじ,広島,2025,1,535,687736
あじ,広島,2025,2,762,976203
あじ,広島,2025,3,1393,1560255
あじ,広島,2025,4,912,1079744
あじ,広島,2025,5,1010,1146688
あじ,広島,2025,6,1258,1215292
あじ,広島,2025,7,911,878714
あじ,広島,2025,8,729,782723
あじ,広島,2025,9,801,705041
あじ,広島,2025,10,852,775048
あじ,広島,2025,11,809,691868
あじ,広島,2025,12,1005,866410
あじ,愛媛,2025,1,497,1269998
あじ,愛媛,2025,2,514,1309087
あじ,愛媛,2025,3,670,1681276
あじ,愛媛,2025,4,600,1512740
あじ,愛媛,2025,5,609,1576920
あじ,愛媛,2025,6,509,1353848
あじ,愛媛,2025,7,503,1398669
あじ,愛媛,2025,8,572,1611161
あじ,愛媛,2025,9,471,1325723
あじ,愛媛,2025,10,483,1381792
あじ,愛媛,2025,11,415,1180576
あじ,愛媛,2025,12,439,1285019
さば,合計,2025,1,359,377566
さば,合計,2025,2,244,215198
さば,合計,2025,3,516,451459
さば,合計,2025,4,394,369643
さば,合計,2025,5,253,244204
さば,合計,2025,6,384,323969
さば,合計,2025,7,141,174436
さば,合計,2025,8,141,131590
さば,合計,2025,9,309,325886
さば,合計,2025,10,224,266319
さば,合計,2025,11,244,248313
さば,合計,2025,12,353,412140
さば,広島,2025,1,353,373170
さば,広島,2025,2,244,215198
さば,広島,2025,3,516,451459
さば,広島,2025,4,394,369643
さば,広島,2025,5,253,244204
さば,広島,2025,6,384,323969
さば,広島,2025,7,141,174436
さば,広島,2025,8,141,131590
さば,広島,2025,9,309,325886
さば,広島,2025,10,224,266319
さば,広島,2025,11,244,248313
さば,広島,2025,12,353,412140
さば,愛媛,2025,1,6,4396
いわし,合計,2025,1,224,213030
いわし,合計,2025,2,269,232761
いわし,合計,2025,3,246,203928
いわし,合計,2025,4,189,144828
いわし,合計,2025,5,270,195863
いわし,合計,2025,6,234,168183
いわし,合計,2025,7,249,169128
いわし,合計,2025,8,141,114761
いわし,合計,2025,9,149,121824
いわし,合計,2025,10,106,110484
いわし,合計,2025,11,55,47245
いわし,合計,2025,12,114,90612
いわし,広島,2025,1,224,213030
いわし,広島,2025,2,269,232761
いわし,広島,2025,3,246,203928
いわし,広島,2025,4,189,144828
いわし,広島,2025,5,270,195863
いわし,広島,2025,6,234,168183
いわし,広島,2025,7,249,169128
いわし,広島,2025,8,141,114761
いわし,広島,2025,9,149,121824
いわし,広島,2025,10,106,110484
いわし,広島,2025,11,55,47245
いわし,広島,2025,12,114,90612
こいわし,合計,2025,3,57,47628
こいわし,合計,2025,4,111,79358
こいわし,合計,2025,5,12,10800
こいわし,合計,2025,6,5200,5086888
こいわし,合計,2025,7,1481,1386784
こいわし,合計,2025,9,45,27540
こいわし,合計,2025,10,159,101412
こいわし,合計,2025,11,225,140292
こいわし,合計,2025,12,185,114880
こいわし,広島,2025,3,57,47628
こいわし,広島,2025,4,111,79358
こいわし,広島,2025,5,12,10800
こいわし,広島,2025,6,5200,5086888
こいわし,広島,2025,7,1481,1386784
こいわし,広島,2025,9,45,27540
こいわし,広島,2025,10,159,101412
こいわし,広島,2025,11,225,140292
こいわし,広島,2025,12,185,114880
さより,合計,2025,1,157,178487
さより,合計,2025,2,213,276332
さより,合計,2025,3,331,432232
さより,合計,2025,4,350,479287
さより,合計,2025,5,20,29981
さより,合計,2025,12,2,1296
さより,広島,2025,1,157,178487
さより,広島,2025,2,213,276332
さより,広島,2025,3,331,432232
さより,広島,2025,4,350,479287
さより,広島,2025,5,20,29981
さより,広島,2025,12,2,1296
このしろ,合計,2025,1,985,689550
このしろ,合計,2025,2,526,408553
このしろ,合計,2025,3,901,695125
このしろ,合計,2025,4,934,630480
このしろ,合計,2025,5,243,133419
このしろ,合計,2025,6,168,106380
このしろ,合計,2025,7,211,138295
このしろ,合計,2025,8,23,16493
このしろ,合計,2025,9,80,58469
このしろ,合計,2025,10,352,260193
このしろ,合計,2025,11,153,121068
このしろ,合計,2025,12,402,305726
このしろ,広島,2025,1,985,689550
このしろ,広島,2025,2,526,408553
このしろ,広島,2025,3,901,695125
このしろ,広島,2025,4,934,630480
このしろ,広島,2025,5,243,133419
このしろ,広島,2025,6,168,106380
このしろ,広島,2025,7,211,138295
このしろ,広島,2025,8,23,16493
このしろ,広島,2025,9,80,58469
このしろ,広島,2025,10,352,260193
このしろ,広島,2025,11,153,121068
このしろ,広島,2025,12,402,305726
さわら,合計,2025,1,525,912033
さわら,合計,2025,2,206,492298
さわら,合計,2025,3,216,467657
さわら,合計,2025,4,785,1182004
さわら,合計,2025,5,2584,2496570
さわら,合計,2025,6,2308,1950784
さわら,合計,2025,8,90,157030
さわら,合計,2025,9,1202,1630264
さわら,合計,2025,10,1146,1793636
さわら,合計,2025,11,726,1233085
さわら,合計,2025,12,278,521047
さわら,広島,2025,1,430,797111
さわら,広島,2025,2,206,492298
さわら,広島,2025,3,195,436747
さわら,広島,2025,4,785,1182004
さわら,広島,2025,5,2584,2496570
さわら,広島,2025,6,2308,1950784
さわら,広島,2025,8,63,116236
さわら,広島,2025,9,1202,1630264
さわら,広島,2025,10,1146,1793636
さわら,広島,2025,11,726,1233085
さわら,広島,2025,12,278,521047
さわら,愛媛,2025,1,95,114922
さわら,愛媛,2025,3,21,30910
さわら,愛媛,2025,8,27,40794
ヤズ,合計,2025,1,87,49000
ヤズ,合計,2025,3,21,15584
