品目,産地,年,月,数量_kg,金額_円
さわら,合計,2023,1,307,603347
さわら,合計,2023,2,85,155575
さわら,合計,2023,3,380,768841
さわら,合計,2023,4,2063,3091266
さわら,合計,2023,5,3692,4426641
さわら,合計,2023,6,1212,1447734
さわら,合計,2023,7,124,168786
さわら,合計,2023,8,110,191101
さわら,合計,2023,9,1982,2653504
さわら,合計,2023,10,2548,3267637
さわら,合計,2023,11,1514,1896327
さわら,合計,2023,12,83,143705
さわら,広島,2023,1,220,480247
さわら,広島,2023,2,61,122824
さわら,広島,2023,3,380,768841
さわら,広島,2023,4,2063,3091266
さわら,広島,2023,5,3692,4426641
さわら,広島,2023,6,1212,1447734
さわら,広島,2023,7,124,168786
さわら,広島,2023,8,110,191101
さわら,広島,2023,9,1982,2653504
さわら,広島,2023,10,2548,3267637
さわら,広島,2023,11,1514,1896327
さわら,広島,2023,12,80,139817
さわら,山口,2023,12,3,3888
さわら,愛媛,2023,1,87,123100
さわら,愛媛,2023,2,24,32751
ヤズ,合計,2023,1,295,153178
ヤズ,合計,2023,2,624,299537
ヤズ,合計,2023,3,246,141815
ヤズ,合計,2023,4,346,168888
ヤズ,合計,2023,5,230,117905
ヤズ,合計,2023,6,106,53979
ヤズ,合計,2023,7,69,44388
ヤズ,合計,2023,8,34,17280
ヤズ,合計,2023,9,28,14472
ヤズ,合計,2023,10,131,60642
ヤズ,合計,2023,11,131,71529
ヤズ,合計,2023,12,205,115917
ヤズ,広島,2023,1,270,141914
ヤズ,広島,2023,2,575,281312
ヤズ,広島,2023,3,246,141815
ヤズ,広島,2023,4,346,168888
ヤズ,広島,2023,5,230,117905
ヤズ,広島,2023,6,106,53979
ヤズ,広島,2023,7,69,44388
ヤズ,広島,2023,8,34,17280
ヤズ,広島,2023,9,28,14472
ヤズ,広島,2023,10,121,57348
ヤズ,広島,2023,11,131,71097
ヤズ,広島,2023,12,203,114945
ヤズ,愛媛,2023,1,25,11264
ヤズ,愛媛,2023,2,49,18225
ヤズ,愛媛,2023,10,10,3294
ヤズ,愛媛,2023,11,1,432
ヤズ,愛媛,2023,12,2,972
はまち,合計,2023,1,4246,7131825
はまち,合計,2023,2,3590,6142491
はまち,合計,2023,3,4395,7448848
はまち,合計,2023,4,3878,6233319
はまち,合計,2023,5,4050,6724482
はまち,合計,2023,6,3468,5894970
はまち,合計,2023,7,3399,5750118
はまち,合計,2023,8,4038,6451123
はまち,合計,2023,9,4038,6048515
はまち,合計,2023,10,4581,6364726
はまち,合計,2023,11,4326,6350103
はまち,合計,2023,12,4436,7275968
はまち,広島,2023,1,2143,2803540
はまち,広島,2023,2,1665,2181722
はまち,広島,2023,3,2010,2542467
はまち,広島,2023,4,1564,1475710
はまち,広島,2023,5,1147,812613
はまち,広島,2023,6,881,620696
はまち,広島,2023,7,947,775803
はまち,広島,2023,8,1409,1181795
はまち,広島,2023,9,1503,884938
はまち,広島,2023,10,1964,1015496
はまち,広島,2023,11,1802,1209625
はまち,広島,2023,12,1483,1308525
はまち,愛媛,2023,1,2103,4328285
はまち,愛媛,2023,2,1926,3960769
はまち,愛媛,2023,3,2385,4906381
はまち,愛媛,2023,4,2314,4757609
はまち,愛媛,2023,5,2903,5911869
はまち,愛媛,2023,6,2587,5274274
はまち,愛媛,2023,7,2452,4974315
はまち,愛媛,2023,8,2628,5269328
はまち,愛媛,2023,9,2535,5163577
はまち,愛媛,2023,10,2617,5349230
はまち,愛媛,2023,11,2524,5140478
はまち,愛媛,2023,12,2953,5967443
ぶり,合計,2023,1,700,1452994
ぶり,合計,2023,2,613,1290160
ぶり,合計,2023,3,535,1165926
ぶり,合計,2023,4,1262,1503509
ぶり,合計,2023,5,876,1225462
ぶり,合計,2023,6,941,1297708
ぶり,合計,2023,7,857,1222472
ぶり,合計,2023,8,411,882396
ぶり,合計,2023,9,392,889314
ぶり,合計,2023,10,438,853485
ぶり,合計,2023,11,695,1289715
ぶり,合計,2023,12,4107,8541035
ぶり,東京,2023,1,372,1026889
ぶり,東京,2023,2,328,903694
ぶり,東京,2023,3,347,958539
ぶり,東京,2023,4,313,863741
ぶり,東京,2023,5,294,813414
ぶり,東京,2023,6,300,826071
ぶり,東京,2023,7,287,790672
ぶり,東京,2023,8,229,634019
ぶり,東京,2023,9,266,734007
ぶり,東京,2023,10,233,643174
ぶり,東京,2023,11,291,805962
ぶり,東京,2023,12,974,2574171
ぶり,広島,2023,1,328,426105
ぶり,広島,2023,2,285,386466
ぶり,広島,2023,3,187,207387
ぶり,広島,2023,4,949,639768
ぶり,広島,2023,5,582,412048
ぶり,広島,2023,6,641,471637
ぶり,広島,2023,7,570,431800
ぶり,広島,2023,8,182,248377
ぶり,広島,2023,9,126,155307
ぶり,広島,2023,10,205,210311
ぶり,広島,2023,11,404,483753
ぶり,広島,2023,12,3133,5966864
まなかつお,合計,2023,1,140,390301
まなかつお,合計,2023,2,206,723265
まなかつお,合計,2023,3,58,190986
まなかつお,合計,2023,4,68,216677
まなかつお,合計,2023,5,57,167981
まなかつお,合計,2023,6,50,162659
まなかつお,合計,2023,7,495,1204158
まなかつお,合計,2023,8,216,540303
まなかつお,合計,2023,9,492,1075455
まなかつお,合計,2023,10,938,1759916
まなかつお,合計,2023,11,305,415913
まなかつお,合計,2023,12,200,462203
まなかつお,広島,2023,1,140,390301
まなかつお,広島,2023,2,206,723265
まなかつお,広島,2023,3,58,190986
まなかつお,広島,2023,4,68,216677
まなかつお,広島,2023,5,57,167981
まなかつお,広島,2023,6,50,162659
まなかつお,広島,2023,7,495,1204158
まなかつお,広島,2023,8,216,540303
まなかつお,広島,2023,9,492,1075455
まなかつお,広島,2023,10,938,1759916
まなかつお,広島,2023,11,305,415913
まなかつお,広島,2023,12,200,462203
かつお,合計,2023,1,264,272502
かつお,合計,2023,2,351,389530
かつお,合計,2023,3,649,585876
かつお,合計,2023,4,292,278189
かつお,合計,2023,5,290,245088
かつお,合計,2023,6,717,554099
かつお,合計,2023,7,914,694728
かつお,合計,2023,8,687,619417
かつお,合計,2023,9,669,568577
かつお,合計,2023,10,458,422623
かつお,合計,2023,11,282,298253
かつお,合計,2023,12,315,326254
かつお,広島,2023,1,264,272502
かつお,広島,2023,2,351,389530
かつお,広島,2023,3,607,572316
かつお,広島,2023,4,292,278189
かつお,広島,2023,5,290,245088
かつお,広島,2023,6,717,554099
かつお,広島,2023,7,914,694728
かつお,広島,2023,8,687,619417
かつお,広島,2023,9,669,568577
かつお,広島,2023,10,458,422623
かつお,広島,2023,11,282,298253
かつお,広島,2023,12,315,326254
かつお,愛媛,2023,3,42,13560
かじき,合計,2023,1,164,508433
かじき,合計,2023,2,158,487343
かじき,合計,2023,3,184,585181
かじき,合計,2023,4,170,549089
かじき,合計,2023,5,15,37012
かじき,合計,2023,6,68,179280
かじき,合計,2023,7,85,223020
かじき,合計,2023,8,95,254880
かじき,合計,2023,9,90,251640
かじき,合計,2023,10,55,145260
かじき,合計,2023,11,123,337500
かじき,合計,2023,12,160,426060
かじき,広島,2023,1,164,508433
かじき,広島,2023,2,158,487343
かじき,広島,2023,3,184,585181
かじき,広島,2023,4,170,549089
かじき,広島,2023,5,15,37012
かじき,広島,2023,6,68,179280
かじき,広島,2023,7,85,223020
かじき,広島,2023,8,95,254880
かじき,広島,2023,9,90,251640
かじき,広島,2023,10,55,145260
かじき,広島,2023,11,123,337500
かじき,広島,2023,12,160,426060
まぐろ,合計,2023,1,168,691649
まぐろ,合計,2023,2,209,887278
まぐろ,合計,2023,3,252,927484
まぐろ,合計,2023,4,257,1110210
まぐろ,合計,2023,5,213,879394
まぐろ,合計,2023,6,216,1080477
まぐろ,合計,2023,7,129,773752
まぐろ,合計,2023,8,99,620781
まぐろ,合計,2023,9,168,884744
まぐろ,合計,2023,10,99,641463
まぐろ,合計,2023,11,225,1081154
まぐろ,合計,2023,12,263,1646930
まぐろ,広島,2023,1,168,691649
まぐろ,広島,2023,2,209,887278
まぐろ,広島,2023,3,252,927484
まぐろ,広島,2023,4,257,1110210
